maxNodeL (m)	nodeL (m)	Ithr (A)	CV (m/s)	dV (mV)
0.001	0.001	nan	nan	nan
0.0009478885402286915	0.0007142857142857143	nan	nan	nan
0.0008984926846968804	0.0007142857142857143	nan	nan	nan
0.0008516709193034839	0.0007142857142857143	nan	nan	nan
0.000807289104453807	0.0007142857142857143	nan	nan	nan
0.0007652200907632474	0.0007142857142857143	nan	nan	nan
0.0007253433547872414	0.0007142857142857143	nan	nan	nan
0.0006875446537338608	0.0005555555555555556	nan	nan	nan
0.0006517156981698303	0.0005555555555555556	nan	nan	nan
0.000617753841782323	0.0005555555555555556	nan	nan	nan
0.0005855617873077127	0.0005555555555555556	nan	nan	nan
0.0005550473077848112	0.00045454545454545455	nan	nan	nan
0.0005261229823340104	0.00045454545454545455	nan	nan	nan
0.0004987059457053507	0.00045454545454545455	nan	nan	nan
0.00047271765087801446	0.00045454545454545455	nan	nan	nan
0.0004480836440310973	0.0003846153846153846	nan	nan	nan
0.0004247333512409894	0.0003846153846153846	nan	nan	nan
0.0004025998762942615	0.0003846153846153846	nan	nan	nan
0.00038161980903681967	0.0003333333333333333	nan	nan	nan
0.00036173304371026337	0.0003333333333333333	nan	nan	nan
0.00034288260675500293	0.0003333333333333333	nan	nan	nan
0.0003250144935868082	0.00029411764705882356	nan	nan	nan
0.000308077513879167	0.00029411764705882356	nan	nan	nan
0.0002920231449082083	0.0002631578947368421	nan	nan	nan
0.0002768053925400335	0.0002631578947368421	nan	nan	nan
0.00026238065946220223	0.0002380952380952381	nan	nan	nan
0.00024870762028186827	0.0002380952380952381	nan	nan	nan
0.00023574710313273203	0.0002173913043478261	nan	nan	nan
0.00022346197745162812	0.0002173913043478261	nan	nan	nan
0.00021181704760324076	0.0002	nan	nan	nan
0.00020077895204818712	0.0002	nan	nan	nan
0.0001903160677656025	0.00018518518518518518	nan	nan	nan
0.00018039841965640188	0.0001724137931034483	nan	nan	nan
0.00017099759466766964	0.00016129032258064516	5.277050845405983e-09	0.24394158077696046	86.04229847887845
0.000162086660392155	0.00016129032258064516	5.296815080782035e-09	0.24381437232487235	86.09921344980542
0.00015364008790966346	0.00015151515151515152	5.118936962397565e-09	0.25823038357575123	87.0667738214379
0.00014563367864929872	0.00014285714285714287	4.980587314765198e-09	0.27021871428291006	87.76375019739652
0.00013804449506301823	0.00013513513513513514	4.862001902508884e-09	0.2802514826546476	88.17774755274337
0.00013085079491189115	0.0001282051282051282	4.782944961004674e-09	0.28896018445974464	88.47877885394725
0.0001240319689767965	0.00012195121951219512	4.664359548748359e-09	0.29635452369081666	88.67457964335941
0.000117568482015106	0.00011627906976744187	4.58530260724415e-09	0.30272703955395447	88.7021781413013
0.00011144181679420197	0.00011111111111111112	4.506245665739941e-09	0.3084630183471367	88.74849503456248
0.00010563442104148949	0.00010204081632653062	4.387660253483627e-09	0.3178380356077019	88.67665840552056
0.00010012965715892042	9.80392156862745e-05	4.32836754735547e-09	0.3217443901144525	88.64885484944674
9.491175455796852e-05	9.433962264150943e-05	4.269074841227313e-09	0.32538693952902725	88.55383761837487
8.996576447849663e-05	8.771929824561404e-05	4.1900178997231035e-09	0.3315842728330021	88.37054057389619
8.527751716208043e-05	8.474576271186441e-05	4.150489428970998e-09	0.3342391567254565	88.2212334926251
8.083358125709176e-05	7.936507936507937e-05	4.091196722842841e-09	0.33916949976089106	87.99573851686152
7.662122533924201e-05	7.462686567164179e-05	4.071432487466789e-09	0.3432433762286014	87.7582256223907
7.262838143734774e-05	7.246376811594203e-05	4.012139781338631e-09	0.3452028466544277	87.61620232599195
6.884361045982014e-05	6.84931506849315e-05	3.992375545962579e-09	0.34859873373843253	87.35583922226574
6.525606942283158e-05	6.493506493506494e-05	3.952847075210474e-09	0.3515208406661607	87.12442062005917
6.185548038626997e-05	6.17283950617284e-05	3.933082839834422e-09	0.354150310078706	86.9321276236264
5.8632101008486017e-05	5.747126436781609e-05	3.913318604458369e-09	0.35759398553052185	86.65241903905496
5.557669663547499e-05	5.4945054945054945e-05	3.903436486770343e-09	0.359585850158994	86.51881027728635
5.268051384453322e-05	5.2631578947368424e-05	3.903436486770343e-09	0.3614363380652354	86.43033757556391
4.9935255366591956e-05	4.950495049504951e-05	3.903436486770343e-09	0.3639696250089148	86.44858360286213
4.7333056315385876e-05	4.672897196261682e-05	3.903436486770343e-09	0.36591206506547796	86.58874143873788
4.486646165535356e-05	4.424778761061947e-05	3.903436486770343e-09	0.3678652885447956	86.81674472498932
4.252840484371964e-05	4.201680672268908e-05	3.913318604458369e-09	0.36947274590451745	87.02722949120275
4.031218758556822e-05	4e-05	3.933082839834422e-09	0.3708246394258036	87.21065407044959
3.821146064390944e-05	3.816793893129771e-05	3.933082839834422e-09	0.3720741833782657	87.35470490218066
3.622020564976141e-05	3.597122302158273e-05	3.942964957522448e-09	0.37365442646400376	87.49802522144029
3.433271786013541e-05	3.401360544217687e-05	3.992375545962579e-09	0.37491531883920415	87.59715436375743
3.254358981452728e-05	3.2258064516129034e-05	3.992375545962579e-09	0.376040221643784	87.66060281319479
3.084769584309357e-05	3.067484662576687e-05	4.012139781338631e-09	0.3768926632042727	87.71032356828613
2.9240177382128637e-05	2.9239766081871346e-05	4.012139781338631e-09	0.3778413348384514	87.74622300680271
2.7716429054773972e-05	2.7624309392265193e-05	4.071432487466789e-09	0.37877490910009737	87.7765209170719
2.6272085477081788e-05	2.6178010471204188e-05	4.071432487466789e-09	0.3795030078100741	87.80809141864823
2.490300875163446e-05	2.4875621890547263e-05	4.091196722842841e-09	0.3800129849342459	87.8428103666224
2.3605276612889114e-05	2.347417840375587e-05	4.110960958218893e-09	0.3808773234907948	87.88617245333936
2.237517119028593e-05	2.2222222222222223e-05	4.150489428970998e-09	0.38145425774807806	87.90482227420722
2.1209168356927205e-05	2.109704641350211e-05	4.150489428970998e-09	0.38209921785241086	87.92309143961033
2.010392763331232e-05	2.0080321285140562e-05	4.170253664347051e-09	0.38225957151392254	87.96078651972397
1.9056282617203666e-05	1.9011406844106464e-05	4.170253664347051e-09	0.3826433097934096	87.96436588529173
1.806323191220657e-05	1.805054151624549e-05	4.1900178997231035e-09	0.3830188581541681	87.9905704864702
1.71219305290738e-05	1.7064846416382253e-05	4.229546370475208e-09	0.3835771518221378	88.00818768770685
1.6229681735100863e-05	1.6181229773462782e-05	4.229546370475208e-09	0.3838317177275964	88.01789971174733
1.5383929328261015e-05	1.5290519877675842e-05	4.229546370475208e-09	0.3840591775039287	88.03010432070946
1.4582250313946684e-05	1.457725947521866e-05	4.249310605851261e-09	0.3842075783548837	88.03789399320252
1.38223479633363e-05	1.3774104683195593e-05	4.269074841227313e-09	0.3846866374118705	88.05405669777826
1.310204523349987e-05	1.3054830287206266e-05	4.269074841227313e-09	0.3845452677491143	88.05590221179916
1.2419278530392502e-05	1.2406947890818859e-05	4.269074841227313e-09	0.3847942979800497	88.0512417807652
1.1772091796867278e-05	1.1764705882352942e-05	4.308603311979417e-09	0.38469724430065094	88.05869778076696
1.1158630908770676e-05	1.1135857461024499e-05	4.308603311979417e-09	0.3850774393564418	88.06785380943414
1.0577138363065392e-05	1.0570824524312897e-05	4.308603311979417e-09	0.3852137605130064	88.07231536561929
1.0025948242762946e-05	1.0020040080160322e-05	4.308603311979417e-09	0.38561930627008173	88.0673305850052
9.503481444241001e-06	9.487666034155598e-06	4.308603311979417e-09	0.3853617331999781	88.05640398729997
9.008241153272059e-06	8.976660682226211e-06	4.308603311979417e-09	0.385387877167826	88.05779232961508
8.538808556803075e-06	8.517887563884158e-06	4.308603311979417e-09	0.38570889480639037	88.06524730575916
8.093838778200327e-06	8.077544426494346e-06	4.308603311979417e-09	0.3857172906733292	88.09834542424016
7.672057024314682e-06	7.656967840735069e-06	4.32836754735547e-09	0.38574870913553766	88.08065967528412
7.272254933328937e-06	7.256894049346879e-06	4.32836754735547e-09	0.3860400080470915	88.08691635534348
6.893287112924066e-06	6.87757909215956e-06	4.32836754735547e-09	0.38581639687940433	88.08785493258613
6.534067858846843e-06	6.51890482398957e-06	4.32836754735547e-09	0.3856869271746771	88.07690129251527
6.193568044477545e-06	6.180469715698393e-06	4.32836754735547e-09	0.38627471385684076	88.11736737850936
5.870812172486892e-06	5.861664712778429e-06	4.32836754735547e-09	0.3861446127153855	88.11028480676893
5.564875580135443e-06	5.5617352614015575e-06	4.32836754735547e-09	0.38605763572036367	88.11913919516178
5.274881790208878e-06	5.268703898840886e-06	4.32836754735547e-09	0.3862280405227686	88.11164641729681
4.9999999999999996e-06	4.995004995004995e-06	4.32836754735547e-09	0.3861139632571472	88.0733253628985
