fiberD (m)	CV (m/s)
2e-07	0.22384325925810647
4e-07	0.3174504407305557
6e-07	0.388967394105595
8e-07	0.449074360027829
1e-06	0.5034257153878144
1.2e-06	0.5519495451936279
1.4e-06	0.5973656670767282
