t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	nan
2.8942661247167517e-05	nan
3.455107294592218e-05	nan
4.124626382901348e-05	209536.14347561996
4.9238826317067415e-05	172114.3001242789
5.878016072274912e-05	146589.49053173966
7.017038286703837e-05	129907.46397752746
8.376776400682924e-05	116548.75308821275
0.0001	106346.10127672194
0.00011937766417144369	101910.16570650859
0.00014251026703029993	99263.14841543042
0.00017012542798525892	94929.02120256619
0.0002030917620904735	91627.52161424348
0.00024244620170823283	89722.25092670921
0.0002894266124716752	88500.55063851929
0.0003455107294592218	87671.53972867613
0.0004124626382901352	87118.86578878069
0.0004923882631706741	86755.26451253369
0.0005878016072274912	86508.01564468574
0.000701703828670383	86348.03108313707
0.0008376776400682924	86238.95070026298
0.001	86173.50247053851
0.001193776641714437	86129.87031738886
0.0014251026703029992	86100.7822152891
0.0017012542798525892	86086.23816423923
0.002030917620904737	86071.69411318935
0.0024244620170823282	86071.69411318935
0.0028942661247167516	86064.42208766441
0.003455107294592222	86064.42208766441
0.004124626382901352	86064.42208766441
0.004923882631706742	86064.42208766441
0.0058780160722749115	86064.42208766441
0.00701703828670383	86064.42208766441
0.008376776400682925	86064.42208766441
0.01	86064.42208766441
