t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	712828.8979390392
2.8942661247167517e-05	462494.27737457235
3.455107294592218e-05	292412.3512318599
4.124626382901348e-05	202419.13770783297
4.9238826317067415e-05	151978.33508394327
5.878016072274912e-05	123642.27951369576
7.017038286703837e-05	109211.8808436623
8.376776400682924e-05	102390.23783601013
0.0001	96749.26381045158
0.00011937766417144369	92813.7005368061
0.00014251026703029993	90452.3625726188
0.00017012542798525892	89009.32270561547
0.0002030917620904735	88091.0246084315
0.00024244620170823283	87467.89375677097
0.0002894266124716752	87041.5410687927
0.0003455107294592218	86779.17018388302
0.0004124626382901352	86549.59565958704
0.0004923882631706741	86385.61385651845
0.0005878016072274912	86287.2247746773
0.000701703828670383	86254.42841406362
0.0008376776400682924	86188.83569283618
0.001	86156.03933222246
0.001193776641714437	86123.24297160876
0.0014251026703029992	86123.24297160876
0.0017012542798525892	86123.24297160876
0.002030917620904737	86123.24297160876
0.0024244620170823282	86123.24297160876
0.0028942661247167516	86123.24297160876
0.003455107294592222	86123.24297160876
0.004124626382901352	86123.24297160876
0.004923882631706742	86123.24297160876
0.0058780160722749115	86123.24297160876
0.00701703828670383	86123.24297160876
0.008376776400682925	86123.24297160876
0.01	86123.24297160876
