tstim (s)	Ithr (A)
1e-06	-0.03418743169106486
2.06913808111479e-06	-0.016625394863463053
4.281332398719396e-06	-0.00819561718621418
8.858667904100832e-06	-0.004127078654486426
1.8329807108324375e-05	-0.0021513495113812224
3.792690190732254e-05	-0.0011927550012079567
7.847599703514606e-05	-0.000735410292155826
0.0001623776739188721	-0.0005085673164659692
0.0003359818286283781	-0.00039148707094862386
0.0006951927961775605	-0.00033843508469857665
0.0014384498882876629	-0.00032014129633649145
0.002976351441631316	-0.0003164825386640744
0.00615848211066026	-0.0003164825386640744
0.012742749857031322	-0.0003164825386640744
0.026366508987303555	-0.0003164825386640744
0.05455594781168514	-0.0003164825386640744
0.11288378916846883	-0.0003164825386640744
0.23357214690901212	-0.0003164825386640744
0.4832930238571752	-0.0003164825386640744
1.0	-0.0003164825386640744
