tstim (s)	Ithr (A)
1e-05	2.679999999999989e-09
2.782559402207126e-05	1.2749999999999949e-09
7.742636826811278e-05	6.049999999999975e-10
0.00021544346900318823	2.899999999999988e-10
0.0005994842503189409	1.6874999999999931e-10
0.0016681005372000592	1.2749999999999946e-10
0.004641588833612777	1.168749999999995e-10
0.012915496650148827	9.687499999999961e-11
0.03593813663804626	8.937499999999964e-11
0.1	8.937499999999964e-11
