t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	348229.61511587433
6.158482110660267e-05	118876.38258265391
0.00011288378916846884	93992.46458327124
0.00020691380811147902	88061.95883439115
0.000379269019073225	86633.79622547716
0.0006951927961775605	86222.29174494263
0.0012742749857031334	86125.46716128744
0.002335721469090121	86125.46716128744
0.004281332398719391	86077.05486945985
0.007847599703514606	86077.05486945985
0.01438449888287663	86077.05486945985
0.026366508987303583	86077.05486945985
0.04832930238571752	86077.05486945985
0.08858667904100823	86077.05486945985
0.1623776739188721	86077.05486945985
0.2976351441631319	86077.05486945985
0.5455594781168515	86077.05486945985
1.0	86077.05486945985
