tstim (s)	Ithr (A)
1e-06	-0.01311298749794269
2.06913808111479e-06	-0.006410143442074663
4.281332398719396e-06	-0.003190436690347663
8.858667904100832e-06	-0.0016244884065531682
1.8329807108324375e-05	-0.0008598080530180057
3.792690190732254e-05	-0.0005012498011211351
7.847599703514606e-05	-0.000325629432845117
0.0001623776739188721	-0.0002359898698708994
0.0003359818286283781	-0.00018842602012947784
0.0006951927961775605	-0.00016372940584066277
0.0014384498882876629	-0.00015503985636867225
0.002976351441631316	-0.00015458251165962014
0.00615848211066026	-0.00015458251165962014
0.012742749857031322	-0.00015458251165962014
0.026366508987303555	-0.00015458251165962014
0.05455594781168514	-0.00015458251165962014
0.11288378916846883	-0.00015458251165962014
0.23357214690901212	-0.00015458251165962014
0.4832930238571752	-0.00015458251165962014
1.0	-0.00015458251165962014
