t stim (m)	thr (A for electric/Pa for US)
0.001	nan
0.0026826957952797246	nan
0.0071968567300115215	389307.44473158685
0.019306977288832496	183555.20446431777
0.0517947467923121	152474.51311100327
0.13894954943731375	149351.92028812354
0.3727593720314938	149061.446537158
1.0	149013.03424533037
