t stim (m)	Ithr (A)
1e-05	nan
1.3433993325988988e-05	nan
1.80472176682717e-05	nan
2.424462017082331e-05	nan
3.257020655659783e-05	nan
4.37547937507418e-05	nan
5.878016072274912e-05	nan
7.896522868499733e-05	nan
0.00010608183551394483	nan
0.00014251026703029977	nan
0.00019144819761699575	nan
0.00025719138090593444	nan
0.0003455107294592218	nan
0.00046415888336127773	nan
0.0006235507341273912	nan
0.0008376776400682916	nan
0.0011253355826007646	433137.181352138
0.0015117750706156615	203495.80008238787
0.002030917620904735	106648.54089191531
0.0027283333764867666	65059.318537144565
0.003665241237079626	45562.71493643674
0.0049238826317067365	35284.61412519404
0.006614740641230145	31576.02104897244
0.008886238162743398	29986.62401630605
0.011937766417144358	29138.945598883973
0.016037187437513294	27946.897824384163
0.021544346900318822	27337.62896186205
0.02894266124716749	26860.80985206213
0.03888155180308085	26542.930445528844
0.05223345074266838	26331.010841173327
0.07017038286703822	26172.071137906685
0.09426684551178845	26119.091236817807
0.1266380173467402	26119.091236817807
0.17012542798525856	26119.091236817807
0.22854638641349884	26066.111335728925
0.30702906297578497	26066.111335728925
0.4124626382901348	26066.111335728925
