tstim (s)	Ithr (A)
1e-06	nan
2.06913808111479e-06	nan
4.281332398719396e-06	nan
8.858667904100832e-06	nan
1.8329807108324375e-05	nan
3.792690190732254e-05	nan
7.847599703514606e-05	-0.03346971813412636
0.0001623776739188721	-0.016216522724278037
0.0003359818286283781	-0.007923141239715752
0.0006951927961775605	-0.003961570619857876
0.0014384498882876629	-0.002017809334413591
0.002976351441631316	-0.0010736967100549383
0.00615848211066026	-0.000627094414708811
0.012742749857031322	-0.0004095782708614744
0.026366508987303555	-0.00030429120123324225
0.05455594781168514	-0.00025916817139257136
0.11288378916846883	-0.00024297016068053562
0.23357214690901212	-0.00023834215761995404
0.4832930238571752	-0.0002354496557070905
1.0	-0.0002348711553245178
