t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	312138.251558404
6.158482110660267e-05	118392.25966437797
0.00011288378916846884	93532.5478109091
0.00020691380811147902	87771.48508342558
0.000379269019073225	86415.94091225299
0.0006951927961775605	86028.64257763226
0.0012742749857031334	85931.81799397708
0.002335721469090121	85859.19955623569
0.004281332398719391	85859.19955623569
0.007847599703514606	85859.19955623569
0.01438449888287663	85859.19955623569
0.026366508987303583	85859.19955623569
0.04832930238571752	85859.19955623569
0.08858667904100823	85859.19955623569
0.1623776739188721	85859.19955623569
0.2976351441631319	85859.19955623569
0.5455594781168515	85859.19955623569
1.0	85859.19955623569
