tstim (s)	Ithr (A)
1e-06	nan
2.06913808111479e-06	nan
4.281332398719396e-06	nan
8.858667904100832e-06	-0.17421540532981
1.8329807108324375e-05	-0.08429777677248872
3.792690190732254e-05	-0.040978085931070905
7.847599703514606e-05	-0.019786561492431378
0.0001623776739188721	-0.009659120255180998
0.0003359818286283781	-0.004727114912762821
0.0006951927961775605	-0.002370874971726245
0.0014384498882876629	-0.0012366600932769611
0.002976351441631316	-0.0006805289270695703
0.00615848211066026	-0.0004134396169831261
0.012742749857031322	-0.0002798949619399039
0.026366508987303555	-0.00021495201325450142
0.05455594781168514	-0.0001861392965842172
0.11288378916846883	-0.00017516302356696602
0.23357214690901212	-0.00017196161060360112
0.4832930238571752	-0.00017104692118549686
1.0	-0.00017104692118549686
