t stim (m)	Ithr (A)
1e-05	nan
1.2663801734674022e-05	nan
1.603718743751331e-05	nan
2.0309176209047348e-05	nan
2.571913809059347e-05	nan
3.257020655659783e-05	nan
4.124626382901348e-05	nan
5.2233450742668436e-05	nan
6.614740641230145e-05	120149.47438299339
8.376776400682924e-05	105267.38758881293
0.00010608183551394483	101836.95955790611
0.00013433993325989	95415.46866261246
0.00017012542798525892	91404.85329642912
0.00021544346900318823	89151.69859632607
0.00027283333764867697	87889.9319642684
0.0003455107294592218	87146.3909132344
0.0004375479375074184	86695.75997321382
0.0005541020330009492	86431.01429595171
0.0007017038286703822	86267.66058019422
0.0008886238162743407	86177.53439219012
0.0011253355826007646	86126.83841143778
0.0014251026703029977	86104.30686443676
0.0018047217668271701	86081.77531743573
0.0022854638641349907	86081.77531743573
0.0028942661247167516	86070.50954393522
0.003665241237079626	86070.50954393522
0.004641588833612777	86070.50954393522
0.0058780160722749115	86070.50954393522
0.0074438030132516885	86070.50954393522
0.009426684551178854	86070.50954393522
0.011937766417144358	86070.50954393522
0.015117750706156615	86070.50954393522
0.019144819761699575	86070.50954393522
0.024244620170823284	86070.50954393522
0.0307029062975785	86070.50954393522
0.03888155180308085	86070.50954393522
0.049238826317067365	86070.50954393522
0.062355073412739125	86070.50954393522
0.07896522868499725	86070.50954393522
0.1	86070.50954393522
