tstim (s)	Ithr (A)
1e-06	-0.00485014720748955
2.06913808111479e-06	-0.0023695375670177952
4.281332398719396e-06	-0.0011755127773877343
8.858667904100832e-06	-0.0005993263963453212
1.8329807108324375e-05	-0.0003216462127104234
3.792690190732254e-05	-0.0001897481254838469
7.847599703514606e-05	-0.00012611308340084945
0.0001623776739188721	-9.256006121163263e-05
0.0003359818286283781	-7.46265493518788e-05
0.0006951927961775605	-6.537054323071554e-05
0.0014384498882876629	-6.189954093527932e-05
0.002976351441631316	-6.132104055270661e-05
0.00615848211066026	-6.132104055270661e-05
0.012742749857031322	-6.132104055270661e-05
0.026366508987303555	-6.132104055270661e-05
0.05455594781168514	-6.132104055270661e-05
0.11288378916846883	-6.132104055270661e-05
0.23357214690901212	-6.132104055270661e-05
0.4832930238571752	-6.132104055270661e-05
1.0	-6.132104055270661e-05
