distance (m)	Ithr (A)
0.0001	-6.070473304592779e-06
0.00019999999999999998	-1.3220869083857054e-05
0.0003	-2.140209995258044e-05
0.00039999999999999996	-3.063052837250044e-05
0.0005	-4.0906154343617115e-05
0.0006000000000000001	-5.222897786593037e-05
0.0007	-6.459899893944017e-05
0.0007999999999999999	-7.827801695194573e-05
0.0009	-9.27751580513235e-05
0.001	-0.0001083194967018979
