t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	nan
2.8942661247167517e-05	460312.5
3.455107294592218e-05	291562.5
4.124626382901348e-05	202000.0
4.9238826317067415e-05	151812.5
5.878016072274912e-05	123468.75
7.017038286703837e-05	109125.0
8.376776400682924e-05	102312.5
0.0001	96593.75
0.00011937766417144369	92687.5
0.00014251026703029993	90375.0
0.00017012542798525892	88937.5
0.0002030917620904735	88062.5
0.00024244620170823283	87437.5
0.0002894266124716752	87062.5
0.0003455107294592218	86750.0
0.0004124626382901352	86562.5
0.0004923882631706741	86437.5
0.0005878016072274912	86312.5
0.000701703828670383	86218.75
0.0008376776400682924	86187.5
0.001	86187.5
0.001193776641714437	86125.0
0.0014251026703029992	86125.0
0.0017012542798525892	86093.75
0.002030917620904737	86093.75
0.0024244620170823282	86093.75
0.0028942661247167516	86093.75
0.003455107294592222	86093.75
0.004124626382901352	86093.75
0.004923882631706742	86093.75
0.0058780160722749115	86093.75
0.00701703828670383	86093.75
0.008376776400682925	86093.75
0.01	86093.75
