t stim (m)	Ithr (A)
1e-05	nan
1.1937766417144358e-05	nan
1.4251026703029993e-05	nan
1.7012542798525893e-05	nan
2.0309176209047348e-05	nan
2.424462017082331e-05	nan
2.8942661247167517e-05	467139.76942179
3.455107294592218e-05	296354.0222768497
4.124626382901348e-05	203616.7629751755
4.9238826317067415e-05	152919.78060618674
5.878016072274912e-05	125706.41404844618
7.017038286703837e-05	111063.6888955503
8.376776400682924e-05	103742.32631910229
0.0001	98976.53369858432
0.00011937766417144369	94809.34304972555
0.00014251026703029993	92161.6804827711
0.00017012542798525892	90411.92087330554
0.0002030917620904735	89214.71692998704
0.00024244620170823283	88362.86027801037
0.0002894266124716752	87764.2583063511
0.0003455107294592218	87349.84155674085
0.0004124626382901352	87004.49426539896
0.0004923882631706741	86797.28589059383
0.0005878016072274912	86613.10066854484
0.000701703828670383	86521.00805752032
0.0008376776400682924	86428.91544649583
0.001	86359.84598822746
0.001193776641714437	86336.82283547134
0.0014251026703029992	86290.77652995908
0.0017012542798525892	86290.77652995908
0.002030917620904737	86267.75337720294
0.0024244620170823282	86267.75337720294
0.0028942661247167516	86244.7302244468
0.003455107294592222	86244.7302244468
0.004124626382901352	86244.7302244468
0.004923882631706742	86244.7302244468
0.0058780160722749115	86244.7302244468
0.00701703828670383	86244.7302244468
0.008376776400682925	86244.7302244468
0.01	86244.7302244468
