tstim (s)	Ithr (A)
1e-06	-0.06842039724763882
2.06913808111479e-06	-0.03346971813412636
4.281332398719396e-06	-0.016438666871185954
8.858667904100832e-06	-0.008256357460077631
1.8329807108324375e-05	-0.004294786840219753
3.792690190732254e-05	-0.002388049579260122
7.847599703514606e-05	-0.0014717049732649588
0.0001623776739188721	-0.0010135326702673773
0.0003359818286283781	-0.0007844465187685865
0.0006951927961775605	-0.0006756884468449181
0.0014384498882876629	-0.0006386644223602652
0.002976351441631316	-0.0006340364192996836
0.00615848211066026	-0.0006340364192996836
0.012742749857031322	-0.0006340364192996836
0.026366508987303555	-0.0006340364192996836
0.05455594781168514	-0.0006340364192996836
0.11288378916846883	-0.0006340364192996836
0.23357214690901212	-0.0006340364192996836
0.4832930238571752	-0.0006340364192996836
1.0	-0.0006340364192996836
