t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
2.1544346900318823e-05	nan
4.641588833612782e-05	165933.13023907403
0.0001	96800.37750927164
0.00021544346900318823	87674.66049977041
0.00046415888336127773	86222.29174494263
0.001	85931.81799397708
0.002154434690031882	85859.19955623569
0.004641588833612777	85859.19955623569
0.01	85859.19955623569
