t stim (m)	thr (A for electric/Pa for US)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	324313.9429530436
0.002335721469090121	88739.73091997743
0.004281332398719391	44248.83473041974
0.007847599703514606	32387.82323265953
0.01438449888287663	29289.43655569359
0.026366508987303583	27304.53259076229
0.04832930238571752	26384.699046038026
0.08858667904100823	26094.22529507247
0.1623776739188721	25997.400711417285
0.2976351441631319	25948.988419589696
0.5455594781168515	25948.988419589696
1.0	25948.988419589696
