tstim (s)	Ithr (A)
1e-06	nan
2.06913808111479e-06	nan
4.281332398719396e-06	nan
8.858667904100832e-06	nan
1.8329807108324375e-05	nan
3.792690190732254e-05	-0.011107207345395914
7.847599703514606e-05	-0.005405507574759345
0.0001623776739188721	-0.002647217750652693
0.0003359818286283781	-0.0013097248661446017
0.0006951927961775605	-0.0006710604437843366
0.0014384498882876629	-0.0003598272379602218
0.002976351441631316	-0.0002082601377261734
0.00615848211066026	-0.00013305508799172188
0.012742749857031322	-9.545256312449615e-05
0.026366508987303555	-7.607280030831056e-05
0.05455594781168514	-6.710604437843364e-05
0.11288378916846883	-6.363504208299743e-05
0.23357214690901212	-6.247804131785202e-05
0.4832930238571752	-6.218879112656567e-05
1.0	-6.218879112656567e-05
