fiberL (m)	nodeL (m)	Ithr (A)	CV (m/s)	dV (mV)
0.01	1.739130434782609e-05	nan	nan	nan
0.005994842503189409	1.7376355081708432e-05	7.757462385100556e-10	0.21779851722921456	87.7161016865906
0.003593813663804626	1.736141866572283e-05	7.708051796660426e-10	0.2178148521563653	87.71957788396344
0.002154434690031882	1.7235477520255058e-05	7.757462385100556e-10	0.21793540806920791	87.73386359216806
0.001291549665014884	1.7220662200198455e-05	7.757462385100556e-10	0.21807771813151117	87.98396630433359
0.000774263682681127	1.7205859615136155e-05	7.757462385100556e-10	0.21941904986098837	89.0803038804574
0.00046415888336127773	1.71910697541214e-05	7.757462385100556e-10	0.2312784244763761	90.72139665294357
0.0002782559402207126	1.636799648357133e-05	7.658641208220295e-10	0.2811560828921268	93.8256933539076
0.0001668100537200059	1.5164550338182355e-05	7.016303558498592e-10	2.9656513946360166	98.10283713051604
0.0001	1.4285714285714287e-05	5.28693296309401e-10	7.313967556031348	90.1428919249123
