tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	228076.17187499988
0.00011288378916846884	133740.23437499994
0.00020691380811147902	108764.64843749994
0.000379269019073225	99096.67968749994
0.0006951927961775605	93530.27343749994
0.0012742749857031334	91406.24999999994
0.002335721469090121	90673.82812499994
0.004281332398719391	90527.34374999994
0.007847599703514606	90454.10156249994
0.01438449888287663	90454.10156249994
0.026366508987303583	90454.10156249994
0.04832930238571752	90454.10156249994
0.08858667904100823	90454.10156249994
0.1623776739188721	90454.10156249994
0.2976351441631319	90454.10156249994
0.5455594781168515	90454.10156249994
1.0	90454.10156249994
