tstim (s)	A (Pa)

1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	302006.8359374999
0.00011288378916846884	137753.90624999994
0.00020691380811147902	108515.62499999994
0.000379269019073225	96621.09374999994
0.0006951927961775605	91992.18749999994
0.0012742749857031334	90820.31249999994
0.002335721469090121	90585.93749999994
0.004281332398719391	90527.34374999994
0.007847599703514606	90527.34374999994
0.01438449888287663	90527.34374999994
0.026366508987303583	90527.34374999994
0.04832930238571752	90527.34374999994
0.08858667904100823	90527.34374999994
0.1623776739188721	90527.34374999994
0.2976351441631319	90527.34374999994
0.5455594781168515	90527.34374999994
1.0	90527.34374999994
