tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	568945.3124999998
0.002335721469090121	562646.4843749998
0.004281332398719391	562573.2421874998
0.007847599703514606	562573.2421874998
0.01438449888287663	562573.2421874998
0.026366508987303583	562573.2421874998
0.04832930238571752	562573.2421874998
0.08858667904100823	562573.2421874998
0.1623776739188721	562573.2421874998
0.2976351441631319	562573.2421874998
0.5455594781168515	562573.2421874998
1.0	562573.2421874998
