PRF (Hz)	FR
168.24133794272822	168.2415957540493
184.82003151311937	184.82003788256915
203.0324084805987	203.03112616181886
223.03945387276133	223.04230841727826
245.01801636566458	245.01712035173517
269.1623715058634	269.1614894379868
295.68593897413035	295.6755906589665
324.82316907030497	324.80971176102713
356.8316150945102	356.8235495844011
391.99420994318814	391.96418393819994
430.6217670435006	430.5701464790146
473.0557277326675	472.96828165264714
519.6711793672	519.5310995917105
570.8801708400651	570.6767568644524
627.1353548126976	626.8075767611716
688.9339888567134	688.4269744001521
756.8223308726979	755.9519317437631
831.4004676385792	830.1784512345827
913.3276191686749	911.3517130703682
1003.327965770333	1000.4603546187113
1102.1970493053966	1097.9456232033829
1210.8088052392663	1204.3604761170152
1330.1232876361348	1320.6805200715473
1461.195155384045	1446.8274684544854
1605.1829946622765	1582.2633042216376
1763.3595600553062	1718.990764232429
1937.1230248378345	1430.066214043931
2128.009339875748	1401.610994015589
2337.7058103872946	1059.931812424375
2568.0660105738093	1252.57038922009
2821.1261679551826	1364.8016975394853
3099.123162236474	1476.7173100023494
3404.514297803346	1269.995491873203
3739.9990246218617	1196.0136700651874
4108.54279954045	1221.6303478270563
4513.4032989119305	940.183050465438
4958.159214237121	1068.689370587031
5446.741885364182	1155.232639597941
5983.470050859435	1203.4577240803255
6573.0880227194775	nan
7220.807622862997	nan
7932.354252092384	nan
8714.017498743431	nan
9572.706734369167	nan
10516.012187885906	nan
11552.272038035253	nan
12690.646117214199	nan
13941.196878164445	nan
15314.978339212168	nan
16824.13379427284	nan
