tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	362182.61718749977
0.00020691380811147902	186547.85156249988
0.000379269019073225	141064.45312499994
0.0006951927961775605	126123.04687499994
0.0012742749857031334	120703.12499999994
0.002335721469090121	119458.00781249994
0.004281332398719391	119091.79687499994
0.007847599703514606	119018.55468749994
0.01438449888287663	118945.31249999994
0.026366508987303583	118945.31249999994
0.04832930238571752	118945.31249999994
0.08858667904100823	118945.31249999994
0.1623776739188721	118945.31249999994
0.2976351441631319	118945.31249999994
0.5455594781168515	118945.31249999994
1.0	118945.31249999994
