tau_m (s)	tau_ax (s)	rmse (mV)
1e-07	1e-07	3.8131918497431916
1e-07	1.832980710832437e-07	3.368720241109293
1e-07	3.359818286283781e-07	3.0250230086033767
1e-07	6.158482110660267e-07	2.8094840803490766
1e-07	1.1288378916846883e-06	2.689826365104882
1e-07	2.06913808111479e-06	2.6263022568299763
1e-07	3.792690190732254e-06	2.592420230715488
1e-07	6.951927961775606e-06	2.5742810944020444
1e-07	1.274274985703132e-05	2.5646606127826472
1e-07	2.335721469090121e-05	2.5591481297595893
1e-07	4.281332398719396e-05	2.5562584409262348
1e-07	7.847599703514605e-05	2.554683413437256
1e-07	0.0001438449888287663	2.5538250685006663
1e-07	0.00026366508987303583	2.553357078325224
1e-07	0.00048329302385717517	2.5531018285591243
1e-07	0.0008858667904100822	2.552962601303708
1e-07	0.001623776739188721	2.5528866506864167
1e-07	0.002976351441631319	2.552845217339535
1e-07	0.005455594781168515	2.5528226135246577
1e-07	0.01	2.5528102820221927
1.832980710832437e-07	1e-07	2.3643486733378016
1.832980710832437e-07	1.832980710832437e-07	1.7774032116666358
1.832980710832437e-07	3.359818286283781e-07	1.367734893864004
1.832980710832437e-07	6.158482110660267e-07	1.1241660620907414
1.832980710832437e-07	1.1288378916846883e-06	0.9964842827094624
1.832980710832437e-07	2.06913808111479e-06	0.9378907721525696
1.832980710832437e-07	3.792690190732254e-06	0.9097370970017932
1.832980710832437e-07	6.951927961775606e-06	0.8955810526322073
1.832980710832437e-07	1.274274985703132e-05	0.8884699227090228
1.832980710832437e-07	2.335721469090121e-05	0.8843191767511875
1.832980710832437e-07	4.281332398719396e-05	0.8822191840437988
1.832980710832437e-07	7.847599703514605e-05	0.8810833703856463
1.832980710832437e-07	0.0001438449888287663	0.8804666749181522
1.832980710832437e-07	0.00026366508987303583	0.8801311205076063
1.832980710832437e-07	0.00048329302385717517	0.8799482991028421
1.832980710832437e-07	0.0008858667904100822	0.8798486396756436
1.832980710832437e-07	0.001623776739188721	0.8797942912507938
1.832980710832437e-07	0.002976351441631319	0.8797646479204431
1.832980710832437e-07	0.005455594781168515	0.8797484776510148
1.832980710832437e-07	0.01	0.8797396565135702
3.359818286283781e-07	1e-07	1.841842745316656
3.359818286283781e-07	1.832980710832437e-07	1.1828375810107468
3.359818286283781e-07	3.359818286283781e-07	0.7683880809118405
3.359818286283781e-07	6.158482110660267e-07	0.5136467915861995
3.359818286283781e-07	1.1288378916846883e-06	0.3717282427342668
3.359818286283781e-07	2.06913808111479e-06	0.3168225649346928
3.359818286283781e-07	3.792690190732254e-06	0.294602102392514
3.359818286283781e-07	6.951927961775606e-06	0.2847059438185046
3.359818286283781e-07	1.274274985703132e-05	0.2802288734262905
3.359818286283781e-07	2.335721469090121e-05	0.2775346939681016
3.359818286283781e-07	4.281332398719396e-05	0.2762671813383624
3.359818286283781e-07	7.847599703514605e-05	0.2755912915594922
3.359818286283781e-07	0.0001438449888287663	0.2752272358358781
3.359818286283781e-07	0.00026366508987303583	0.2750404136149313
3.359818286283781e-07	0.00048329302385717517	0.2749154079355572
3.359818286283781e-07	0.0008858667904100822	0.2748570626255562
3.359818286283781e-07	0.001623776739188721	0.27482007526422736
3.359818286283781e-07	0.002976351441631319	0.27480273320598925
3.359818286283781e-07	0.005455594781168515	0.2747932751754896
3.359818286283781e-07	0.01	0.27478811625685234
6.158482110660267e-07	1e-07	1.625368732533684
6.158482110660267e-07	1.832980710832437e-07	0.9366886682353568
6.158482110660267e-07	3.359818286283781e-07	0.5359628542558232
6.158482110660267e-07	6.158482110660267e-07	0.36326665477581616
6.158482110660267e-07	1.1288378916846883e-06	0.18966600140750348
6.158482110660267e-07	2.06913808111479e-06	0.1225174877406296
6.158482110660267e-07	3.792690190732254e-06	0.09874391402666673
6.158482110660267e-07	6.951927961775606e-06	0.08987916431718174
6.158482110660267e-07	1.274274985703132e-05	0.08668237675180554
6.158482110660267e-07	2.335721469090121e-05	0.08466905017223171
6.158482110660267e-07	4.281332398719396e-05	0.08387736135303757
6.158482110660267e-07	7.847599703514605e-05	0.08347218764748326
6.158482110660267e-07	0.0001438449888287663	0.08325962937991825
6.158482110660267e-07	0.00026366508987303583	0.08314582561905483
6.158482110660267e-07	0.00048329302385717517	0.08308440292522856
6.158482110660267e-07	0.0008858667904100822	0.08305109323048261
6.158482110660267e-07	0.001623776739188721	0.0830329787427968
6.158482110660267e-07	0.002976351441631319	0.08302311433781516
6.158482110660267e-07	0.005455594781168515	0.08301773789465984
6.158482110660267e-07	0.01	0.08301480628936554
1.1288378916846883e-06	1e-07	1.4601137522585392
1.1288378916846883e-06	1.832980710832437e-07	0.7603018126132821
1.1288378916846883e-06	3.359818286283781e-07	0.3729424547522875
1.1288378916846883e-06	6.158482110660267e-07	0.21692807244123968
1.1288378916846883e-06	1.1288378916846883e-06	0.16164150818086706
1.1288378916846883e-06	2.06913808111479e-06	0.09222275734510264
1.1288378916846883e-06	3.792690190732254e-06	0.06206705194491763
1.1288378916846883e-06	6.951927961775606e-06	0.043061157601517096
1.1288378916846883e-06	1.274274985703132e-05	0.032099986333259105
1.1288378916846883e-06	2.335721469090121e-05	0.02608029777243951
1.1288378916846883e-06	4.281332398719396e-05	0.02544248477484045
1.1288378916846883e-06	7.847599703514605e-05	0.025152056602875013
1.1288378916846883e-06	0.0001438449888287663	0.02500955819791597
1.1288378916846883e-06	0.00026366508987303583	0.02493634933673649
1.1288378916846883e-06	0.00048329302385717517	0.02489772068880549
1.1288378916846883e-06	0.0008858667904100822	0.024877030843895274
1.1288378916846883e-06	0.001623776739188721	0.024865856501928053
1.1288378916846883e-06	0.002976351441631319	0.024859793807555847
1.1288378916846883e-06	0.005455594781168515	0.024856496180202296
1.1288378916846883e-06	0.01	0.02485470010799808
2.06913808111479e-06	1e-07	1.3691679761290008
2.06913808111479e-06	1.832980710832437e-07	0.6652579864477163
2.06913808111479e-06	3.359818286283781e-07	0.2877445942573858
2.06913808111479e-06	6.158482110660267e-07	0.14269686938329212
2.06913808111479e-06	1.1288378916846883e-06	0.09352324108751184
2.06913808111479e-06	2.06913808111479e-06	0.0921390926802335
2.06913808111479e-06	3.792690190732254e-06	0.05776317267839765
2.06913808111479e-06	6.951927961775606e-06	0.038063992221590605
2.06913808111479e-06	1.274274985703132e-05	0.0270172016719299
2.06913808111479e-06	2.335721469090121e-05	0.01869603634623983
2.06913808111479e-06	4.281332398719396e-05	0.013577018204259264
2.06913808111479e-06	7.847599703514605e-05	0.010048618730958149
2.06913808111479e-06	0.0001438449888287663	0.007676693566853011
2.06913808111479e-06	0.00026366508987303583	0.0076128045579676095
2.06913808111479e-06	0.00048329302385717517	0.007545250902101767
2.06913808111479e-06	0.0008858667904100822	0.00752792084341103
2.06913808111479e-06	0.001623776739188721	0.007518691356534701
2.06913808111479e-06	0.002976351441631319	0.007513749090408756
2.06913808111479e-06	0.005455594781168515	0.00751104936056643
2.06913808111479e-06	0.01	0.007509580627227964
3.792690190732254e-06	1e-07	1.321061137039821
3.792690190732254e-06	1.832980710832437e-07	0.6156911002826359
3.792690190732254e-06	3.359818286283781e-07	0.2442778014479469
3.792690190732254e-06	6.158482110660267e-07	0.1055032630936017
3.792690190732254e-06	1.1288378916846883e-06	0.060443565399335
3.792690190732254e-06	2.06913808111479e-06	0.05493069988651832
3.792690190732254e-06	3.792690190732254e-06	0.05488644085873949
3.792690190732254e-06	6.951927961775606e-06	0.03368955730880045
3.792690190732254e-06	1.274274985703132e-05	0.02270811800149631
3.792690190732254e-06	2.335721469090121e-05	0.015307310423415928
3.792690190732254e-06	4.281332398719396e-05	0.010847356629400692
3.792690190732254e-06	7.847599703514605e-05	0.007832247283066923
3.792690190732254e-06	0.0001438449888287663	0.005734386845902356
3.792690190732254e-06	0.00026366508987303583	0.004269654867796157
3.792690190732254e-06	0.00048329302385717517	0.00321645461635742
3.792690190732254e-06	0.0008858667904100822	0.002470083374130432
3.792690190732254e-06	0.001623776739188721	0.0022063396297925877
3.792690190732254e-06	0.002976351441631319	0.002226012906195374
3.792690190732254e-06	0.005455594781168515	0.0022276088160868386
3.792690190732254e-06	0.01	0.0022276483766157282
6.951927961775606e-06	1e-07	1.2944253120429678
6.951927961775606e-06	1.832980710832437e-07	0.5885355417855337
6.951927961775606e-06	3.359818286283781e-07	0.22067187345414035
6.951927961775606e-06	6.158482110660267e-07	0.08502996724398529
6.951927961775606e-06	1.1288378916846883e-06	0.04231561634326656
6.951927961775606e-06	2.06913808111479e-06	0.032038200393769214
6.951927961775606e-06	3.792690190732254e-06	0.03218172223989205
6.951927961775606e-06	6.951927961775606e-06	0.031168004559347224
6.951927961775606e-06	1.274274985703132e-05	0.019440903462400468
6.951927961775606e-06	2.335721469090121e-05	0.012669064895076288
6.951927961775606e-06	4.281332398719396e-05	0.008722425417738091
6.951927961775606e-06	7.847599703514605e-05	0.006186916671165293
6.951927961775606e-06	0.0001438449888287663	0.004482402127084153
6.951927961775606e-06	0.00026366508987303583	0.00328977131010278
6.951927961775606e-06	0.00048329302385717517	0.002354493464853351
6.951927961775606e-06	0.0008858667904100822	0.0019290325498199368
6.951927961775606e-06	0.001623776739188721	0.0012733347400557516
6.951927961775606e-06	0.002976351441631319	0.0009403047455412744
6.951927961775606e-06	0.005455594781168515	0.000694403807307232
