gamma1 (-)	gamma2 (-)	rmse (mV)
0.0	0.0	2.875201926538309e-13
0.0	0.08421052631578947	9.936420329685614e-05
0.0	0.16842105263157894	0.00020745665351584126
0.0	0.25263157894736843	0.0002656336736496967
0.0	0.3368421052631579	0.00035514747265860257
0.0	0.42105263157894735	0.0013601043984425591
0.0	0.5052631578947369	0.0029054106897096793
0.0	0.5894736842105263	0.006516390917847518
0.0	0.6736842105263158	0.013663662671862522
0.0	0.7578947368421053	0.027088164239484444
0.0	0.8421052631578947	0.05378412808070393
0.0	0.9263157894736842	0.11303095131156804
0.0	1.0105263157894737	1.3665192115447322
0.0	1.0947368421052632	0.827151719718682
0.0	1.1789473684210525	0.4075544783968843
0.0	1.263157894736842	0.18129330835085922
0.0	1.3473684210526315	0.43279388274774855
0.0	1.431578947368421	0.5878423261710085
0.0	1.5157894736842106	0.6040889180158269
0.0	1.6	0.6721367365980686
0.08421052631578947	0.0	9.936420319270362e-05
0.08421052631578947	0.08421052631578947	6.421155101570404e-06
0.08421052631578947	0.16842105263157894	0.00010472580444612953
0.08421052631578947	0.25263157894736843	0.00016493529079757762
0.08421052631578947	0.3368421052631579	0.0002864041495603174
0.08421052631578947	0.42105263157894735	0.0013318071592551062
0.08421052631578947	0.5052631578947369	0.0028926014860080123
0.08421052631578947	0.5894736842105263	0.006475240444208551
0.08421052631578947	0.6736842105263158	0.013591322209964186
0.08421052631578947	0.7578947368421053	0.026955206061476337
0.08421052631578947	0.8421052631578947	0.05362266923007662
0.08421052631578947	0.9263157894736842	0.11361863756966509
0.08421052631578947	1.0105263157894737	1.3471883465838055
0.08421052631578947	1.0947368421052632	0.8197299370584601
0.08421052631578947	1.1789473684210525	0.4107262120681029
0.08421052631578947	1.263157894736842	0.17195208328762918
0.08421052631578947	1.3473684210526315	0.42579801867703704
0.08421052631578947	1.431578947368421	0.5785334623819319
0.08421052631578947	1.5157894736842106	0.6001726608659159
0.08421052631578947	1.6	0.6712959046279908
0.16842105263157894	0.0	0.0002074566535157894
0.16842105263157894	0.08421052631578947	0.00010472580445296812
0.16842105263157894	0.16842105263157894	2.76486416162082e-05
0.16842105263157894	0.25263157894736843	8.765481274051592e-05
0.16842105263157894	0.3368421052631579	0.00028691066080254525
0.16842105263157894	0.42105263157894735	0.0013226910173398845
0.16842105263157894	0.5052631578947369	0.0028928964736447955
0.16842105263157894	0.5894736842105263	0.006387453506634976
0.16842105263157894	0.6736842105263158	0.0134050260427597
0.16842105263157894	0.7578947368421053	0.0266142053838291
