tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	430297.85156249977
3.359818286283781e-05	189843.74999999988
6.158482110660267e-05	132055.66406249994
0.00011288378916846884	111840.82031249994
0.00020691380811147902	102319.33593749994
0.000379269019073225	94262.69531249994
0.0006951927961775605	90380.85937499994
0.0012742749857031334	88842.77343749994
0.002335721469090121	88330.07812499994
0.004281332398719391	88110.35156249994
0.007847599703514606	88037.10937499994
0.01438449888287663	88037.10937499994
0.026366508987303583	88037.10937499994
0.04832930238571752	88037.10937499994
0.08858667904100823	88037.10937499994
0.1623776739188721	88037.10937499994
0.2976351441631319	88037.10937499994
0.5455594781168515	88037.10937499994
1.0	88037.10937499994
