tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	nan
0.002335721469090121	nan
0.004281332398719391	108251.95312499994
0.007847599703514606	47314.45312499997
0.01438449888287663	34423.828124999985
0.026366508987303583	30688.476562499985
0.04832930238571752	28710.937499999985
0.08858667904100823	27612.304687499985
0.1623776739188721	27172.851562499985
0.2976351441631319	27026.367187499985
0.5455594781168515	26953.124999999985
1.0	26953.124999999985
