tstim (s)	Vext (mV)
1e-05	-545.0
1.8329807108324375e-05	-317.5
3.359818286283781e-05	-193.75
6.158482110660267e-05	-127.5
0.00011288378916846884	-92.5
0.00020691380811147902	-75.0
0.000379269019073225	-68.75
0.0006951927961775605	-66.875
0.0012742749857031334	-66.875
0.002335721469090121	-66.875
0.004281332398719391	-66.875
0.007847599703514606	-66.875
0.01438449888287663	-66.875
0.026366508987303583	-66.875
0.04832930238571752	-66.875
0.08858667904100823	-66.875
0.1623776739188721	-66.875
0.2976351441631319	-66.875
0.5455594781168515	-66.875
1.0	-66.875
