tstim (s)	Vext (mV)

1e-05	-470.0
1.8329807108324375e-05	-275.0
3.359818286283781e-05	-170.0
6.158482110660267e-05	-111.875
0.00011288378916846884	-81.875
0.00020691380811147902	-67.5
0.000379269019073225	-61.25
0.0006951927961775605	-60.3125
0.0012742749857031334	-60.3125
0.002335721469090121	-60.3125
0.004281332398719391	-60.3125
0.007847599703514606	-60.3125
0.01438449888287663	-60.3125
0.026366508987303583	-60.3125
0.04832930238571752	-60.3125
0.08858667904100823	-60.3125
0.1623776739188721	-60.3125
0.2976351441631319	-60.3125
0.5455594781168515	-60.3125
1.0	-60.3125
