duty cycle (-)	amplitude (Pa)	normalized firing rate (-)
0.05128205128205128	11106.919438024492	
0.05128205128205128	12336.365940276655	
0.05128205128205128	13701.902265664208	
0.05128205128205128	15218.592461241791	
0.05128205128205128	16903.168042713947	
0.05128205128205128	18774.21256978144	
0.05128205128205128	20852.366652490917	
0.05128205128205128	23160.555650136557	
0.05128205128205128	25724.24257459497	
0.05128205128205128	28571.708988022667	
0.05128205128205128	31734.366993664804	
0.05128205128205128	35247.10576153392	
0.05128205128205128	39148.67641168862	
0.05128205128205128	43482.11950099161	
0.05128205128205128	48295.23982920676	
0.05128205128205128	53641.13380230722	
0.05128205128205128	59578.775170651876	
0.05128205128205128	66173.66560366057	
0.05128205128205128	73498.55727786303	
0.05128205128205128	81634.25544962553	
0.05128205128205128	90670.50986621024	
0.05128205128205128	100707.0048488604	0.9997748641268694
0.05128205128205128	111854.45897010346	0.9997078275529409
0.05128205128205128	124235.84645647575	0.9997349575786212
0.05128205128205128	137987.75379068567	0.9997571385422576
0.05128205128205128	153261.88647871045	0.999780420163179
0.05128205128205128	170226.74260386958	0.9997567284770216
0.05128205128205128	189069.4716298515	0.9997806832292556
0.05128205128205128	209997.93895826172	0.9997722662632872
0.05128205128205128	233243.01901605987	0.9998293410602817
0.05128205128205128	259061.14216929968	0.9997933870043682
0.05128205128205128	287737.1235597027	0.9998348603336334
0.05128205128205128	319587.3050706517	0.9997789135048536
0.05128205128205128	354963.04508350854	0.9998444410706444
0.05128205128205128	394254.5945218393	0.9998013957598344
0.05128205128205128	437895.401942509	0.9998252061553292
0.05128205128205128	486366.8951656802	0.9997838338695554
0.05128205128205128	540203.7921927313	0.9997307581610102
0.05128205128205128	600000.0000000003	0.9997393883869108
0.07692307692307693	10000.0	
0.07692307692307693	11106.919438024492	
0.07692307692307693	12336.365940276655	
0.07692307692307693	13701.902265664208	
0.07692307692307693	15218.592461241791	
0.07692307692307693	16903.168042713947	
0.07692307692307693	18774.21256978144	
0.07692307692307693	20852.366652490917	
0.07692307692307693	23160.555650136557	
0.07692307692307693	25724.24257459497	
0.07692307692307693	28571.708988022667	
0.07692307692307693	31734.366993664804	
0.07692307692307693	35247.10576153392	
0.07692307692307693	39148.67641168862	
0.07692307692307693	43482.11950099161	
0.07692307692307693	48295.23982920676	
0.07692307692307693	53641.13380230722	
0.07692307692307693	59578.775170651876	
0.07692307692307693	66173.66560366057	
0.07692307692307693	73498.55727786303	
0.07692307692307693	81634.25544962553	
0.07692307692307693	90670.50986621024	0.9997219637991536
0.07692307692307693	100707.0048488604	0.9996645197871976
0.07692307692307693	111854.45897010346	0.9996992073625866
0.07692307692307693	124235.84645647575	0.9997151910037252
0.07692307692307693	137987.75379068567	0.9997404544298948
0.07692307692307693	153261.88647871045	0.9997582084440588
0.07692307692307693	170226.74260386958	0.9997614030092912
0.07692307692307693	189069.4716298515	0.9997303969562892
0.07692307692307693	209997.93895826172	0.9997888694904098
0.07692307692307693	233243.01901605987	0.9997634871176324
0.07692307692307693	259061.14216929968	0.999813033538343
0.07692307692307693	287737.1235597027	0.9998320995730456
0.07692307692307693	319587.3050706517	0.9997859964924196
0.07692307692307693	354963.04508350854	0.999767415972302
0.07692307692307693	394254.5945218393	0.9998502661030187
0.07692307692307693	437895.401942509	0.9998199916887166
0.07692307692307693	486366.8951656802	0.9998728072114502
0.07692307692307693	540203.7921927313	0.9998363142079156
0.07692307692307693	600000.0000000003	0.9997898227819718
0.10256410256410256	10000.0	
0.10256410256410256	11106.919438024492	
0.10256410256410256	12336.365940276655	
0.10256410256410256	13701.902265664208	
0.10256410256410256	15218.592461241791	
0.10256410256410256	16903.168042713947	
0.10256410256410256	18774.21256978144	
0.10256410256410256	20852.366652490917	
0.10256410256410256	23160.555650136557	
0.10256410256410256	25724.24257459497	
0.10256410256410256	28571.708988022667	
0.10256410256410256	31734.366993664804	
0.10256410256410256	35247.10576153392	
0.10256410256410256	39148.67641168862	
0.10256410256410256	43482.11950099161	
0.10256410256410256	48295.23982920676	
0.10256410256410256	53641.13380230722	
0.10256410256410256	59578.775170651876	
0.10256410256410256	66173.66560366057	
0.10256410256410256	73498.55727786303	
0.10256410256410256	81634.25544962553	
0.10256410256410256	90670.50986621024	0.9997032638939582
0.10256410256410256	100707.0048488604	0.9997515002884634
0.10256410256410256	111854.45897010346	0.9997486731448356
0.10256410256410256	124235.84645647575	0.9996853646463336
0.10256410256410256	137987.75379068567	0.9996633104164604
0.10256410256410256	153261.88647871045	0.9997720172455994
0.10256410256410256	170226.74260386958	0.9998177732081052
0.10256410256410256	189069.4716298515	0.9997533069844232
0.10256410256410256	209997.93895826172	0.9998122071975042
0.10256410256410256	233243.01901605987	0.9997786013356456
0.10256410256410256	259061.14216929968	0.999683255589496
0.10256410256410256	287737.1235597027	0.999836194350864
