tstim (s)	Vext (mV)
1e-05	-255.0
1.8329807108324375e-05	-153.75
3.359818286283781e-05	-97.5
6.158482110660267e-05	-67.5
0.00011288378916846884	-51.25
0.00020691380811147902	-43.4375
0.000379269019073225	-40.3125
0.0006951927961775605	-40.0
0.0012742749857031334	-40.0
0.002335721469090121	-40.0
0.004281332398719391	-40.0
0.007847599703514606	-40.0
0.01438449888287663	-40.0
0.026366508987303583	-40.0
0.04832930238571752	-40.0
0.08858667904100823	-40.0
0.1623776739188721	-40.0
0.2976351441631319	-40.0
0.5455594781168515	-40.0
1.0	-40.0
