gamma1 (-)	gamma2 (-)	rmse (mV)
0.0	0.0	2.3353938366156737e-06
0.0	0.08421052631578947	0.0004876708919560932
0.0	0.16842105263157894	0.0009198733196030096
0.0	0.25263157894736843	0.0012997511098859925
0.0	0.3368421052631579	0.0016148662120277553
0.0	0.42105263157894735	0.0018362579263553414
0.0	0.5052631578947369	0.00222790019613186
0.0	0.5894736842105263	0.009070704726405934
0.0	0.6736842105263158	0.1222444309550338
0.0	0.7578947368421053	4.03625910960891
0.0	0.8421052631578947	1.9542694003804808
0.0	0.9263157894736842	2.3957751243828307
0.0	1.0105263157894735	2.3003112807571964
0.0	1.0947368421052632	2.9595642817895955
0.0	1.1789473684210523	1.2105364210235516
0.0	1.263157894736842	0.7242065933755886
0.0	1.3473684210526315	0.6422566998820839
0.0	1.431578947368421	0.6412482467361008
0.0	1.5157894736842106	0.6708226679706433
0.0	1.6	0.7303404361650689
0.08421052631578947	0.0	0.0004876708919560932
0.08421052631578947	0.08421052631578947	0.00033248768644938314
0.08421052631578947	0.16842105263157894	0.0007712030466120192
0.08421052631578947	0.25263157894736843	0.0011473722432723287
0.08421052631578947	0.3368421052631579	0.0015120153525028804
0.08421052631578947	0.42105263157894735	0.0016841253363292974
0.08421052631578947	0.5052631578947369	0.00204400068571796
0.08421052631578947	0.5894736842105263	0.008982649441108
0.08421052631578947	0.6736842105263158	0.12224303277204968
0.08421052631578947	0.7578947368421053	4.0293723065568114
0.08421052631578947	0.8421052631578947	1.9427863636829863
0.08421052631578947	0.9263157894736842	2.4112243490363765
0.08421052631578947	1.0105263157894735	2.3035833677938493
0.08421052631578947	1.0947368421052632	3.0776670751799613
0.08421052631578947	1.1789473684210523	1.206170318655104
0.08421052631578947	1.263157894736842	0.7245920961094832
0.08421052631578947	1.3473684210526315	0.6427190558099912
0.08421052631578947	1.431578947368421	0.6414730299213225
0.08421052631578947	1.5157894736842106	0.6706882836246431
0.08421052631578947	1.6	0.7298248353966638
0.16842105263157894	0.0	0.0009198733196030096
0.16842105263157894	0.08421052631578947	0.0007712030466120192
0.16842105263157894	0.16842105263157894	0.0007364307343746917
0.16842105263157894	0.25263157894736843	0.0011256364490794426
0.16842105263157894	0.3368421052631579	0.0014360068175544687
0.16842105263157894	0.42105263157894735	0.0016048982545220092
0.16842105263157894	0.5052631578947369	0.001866927397241061
0.16842105263157894	0.5894736842105263	0.008905649709251043
0.16842105263157894	0.6736842105263158	0.12252728799637848
0.16842105263157894	0.7578947368421053	4.017831956052758
0.16842105263157894	0.8421052631578947	1.9126824950274417
0.16842105263157894	0.9263157894736842	2.4672384838761667
0.16842105263157894	1.0105263157894735	2.3049390651023387
0.16842105263157894	1.0947368421052632	3.3713307875146024
0.16842105263157894	1.1789473684210523	1.1897239522882974
0.16842105263157894	1.263157894736842	0.7251813985066905
0.16842105263157894	1.3473684210526315	0.6434101371078573
0.16842105263157894	1.431578947368421	0.6414525827832765
0.16842105263157894	1.5157894736842106	0.6698471312208993
0.16842105263157894	1.6	0.7278714873000901
0.25263157894736843	0.0	0.0012997511098859925
0.25263157894736843	0.08421052631578947	0.0011473722432723287
0.25263157894736843	0.16842105263157894	0.0011256364490794426
0.25263157894736843	0.25263157894736843	0.0011282608017563866
0.25263157894736843	0.3368421052631579	0.0014909203302095725
0.25263157894736843	0.42105263157894735	0.001606058106038457
0.25263157894736843	0.5052631578947369	0.0016916441216944381
0.25263157894736843	0.5894736842105263	0.008754119473164136
0.25263157894736843	0.6736842105263158	0.12472805825987338
0.25263157894736843	0.7578947368421053	3.9954804832674258
0.25263157894736843	0.8421052631578947	1.8731191559249056
0.25263157894736843	0.9263157894736842	2.565417598942
0.25263157894736843	1.0105263157894735	2.2965021491463835
0.25263157894736843	1.0947368421052632	3.9099850974654884
0.25263157894736843	1.1789473684210523	1.1564469629791394
0.25263157894736843	1.263157894736842	0.7253373986442301
0.25263157894736843	1.3473684210526315	0.6444288041613239
0.25263157894736843	1.431578947368421	0.6413476191977929
0.25263157894736843	1.5157894736842106	0.6684100664007369
0.25263157894736843	1.6	0.7246870592848986
0.3368421052631579	0.0	0.0016148662120277553
0.3368421052631579	0.08421052631578947	0.0015120153525028804
0.3368421052631579	0.16842105263157894	0.0014360068175544687
0.3368421052631579	0.25263157894736843	0.0014909203302095725
0.3368421052631579	0.3368421052631579	0.0015429655712048598
0.3368421052631579	0.42105263157894735	0.001656237767809636
0.3368421052631579	0.5052631578947369	0.0016017670601094411
0.3368421052631579	0.5894736842105263	0.008650704549107349
0.3368421052631579	0.6736842105263158	0.134031184653788
0.3368421052631579	0.7578947368421053	3.946600421372673
0.3368421052631579	0.8421052631578947	1.8425825749325493
0.3368421052631579	0.9263157894736842	2.7176462505425167
0.3368421052631579	1.0105263157894735	2.2662489966788013
0.3368421052631579	1.0947368421052632	4.773150144760058
0.3368421052631579	1.1789473684210523	1.1299263222608702
0.3368421052631579	1.263157894736842	0.7241624095965327
0.3368421052631579	1.3473684210526315	0.64597025554294
0.3368421052631579	1.431578947368421	0.6414367777288745
0.3368421052631579	1.5157894736842106	0.666741764823542
0.3368421052631579	1.6	0.7205843383679233
0.42105263157894735	0.0	0.0018362579263553414
0.42105263157894735	0.08421052631578947	0.0016841253363292974
0.42105263157894735	0.16842105263157894	0.0016048982545220092
0.42105263157894735	0.25263157894736843	0.001606058106038457
0.42105263157894735	0.3368421052631579	0.001656237767809636
0.42105263157894735	0.42105263157894735	0.001614410108533583
0.42105263157894735	0.5052631578947369	0.001643641432990819
0.42105263157894735	0.5894736842105263	0.009145071336006862
0.42105263157894735	0.6736842105263158	0.18177973929471825
