tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	309155.27343749977
6.158482110660267e-05	150659.17968749988
0.00011288378916846884	113159.17968749994
0.00020691380811147902	101586.91406249994
0.000379269019073225	92871.09374999994
0.0006951927961775605	89428.71093749994
0.0012742749857031334	88256.83593749994
0.002335721469090121	87963.86718749994
0.004281332398719391	87817.38281249994
0.007847599703514606	87817.38281249994
0.01438449888287663	87817.38281249994
0.026366508987303583	87744.14062499994
0.04832930238571752	87744.14062499994
0.08858667904100823	87744.14062499994
0.1623776739188721	87744.14062499994
0.2976351441631319	87744.14062499994
0.5455594781168515	87744.14062499994
1.0	87744.14062499994
