f (Hz)	A (Pa)	gamma (-)
20000.000000000004	1000.0	0.015402733861504328
20000.000000000004	1438.449888287663	0.0169061840358007
20000.000000000004	2069.138081114789	0.01908272247585149
20000.000000000004	2976.351441631319	0.022306313576833485
20000.000000000004	4281.332398719395	0.028487398053995625
20000.000000000004	6158.4821106602685	0.04110826194309008
20000.000000000004	8858.667904100823	0.05980333159065712
20000.000000000004	12742.74985703132	0.08819926933879077
20000.000000000004	18329.807108324374	0.13468358613611328
20000.000000000004	26366.508987303554	0.2357576676309345
20000.000000000004	37926.901907322535	0.7119210072086305
20000.000000000004	54555.947811685146	0.7892800427502906
20000.000000000004	78475.99703514608	0.8533634434158849
20000.000000000004	112883.78916846885	0.9148024287831436
20000.000000000004	162377.67391887208	0.9765584751509292
20000.000000000004	233572.1469090121	1.039696700127306
20000.000000000004	335981.8286283781	1.1045958333055923
20000.000000000004	483293.0238571753	1.1713570595020804
20000.000000000004	695192.7961775606	1.2399775273810745
20000.000000000004	1000000.0	1.3104492764575413
26432.41458867209	1000.0	0.01540527860754825
26432.41458867209	1438.449888287663	0.017000409335711508
26432.41458867209	2069.138081114789	0.01908215875817288
26432.41458867209	2976.351441631319	0.02229860513808749
26432.41458867209	4281.332398719395	0.028444800290166636
26432.41458867209	6158.4821106602685	0.041235423192741316
26432.41458867209	8858.667904100823	0.059799466808222936
26432.41458867209	12742.74985703132	0.08819441643468998
26432.41458867209	18329.807108324374	0.13468382939570284
26432.41458867209	26366.508987303554	0.2357579410368308
26432.41458867209	37926.901907322535	0.7119188572057243
26432.41458867209	54555.947811685146	0.7892803170856296
26432.41458867209	78475.99703514608	0.853362453632634
26432.41458867209	112883.78916846885	0.9148016363041545
26432.41458867209	162377.67391887208	0.9765545707020508
26432.41458867209	233572.1469090121	1.0396956080599058
26432.41458867209	335981.8286283781	1.1045950347557858
26432.41458867209	483293.0238571753	1.1713562388407508
26432.41458867209	695192.7961775606	1.2399777746179677
26432.41458867209	1000000.0	1.3104500530398548
34933.62704937228	1000.0	0.015470335878654297
34933.62704937228	1438.449888287663	0.016894676598972445
34933.62704937228	2069.138081114789	0.019204390421814245
34933.62704937228	2976.351441631319	0.0223400831550433
34933.62704937228	4281.332398719395	0.028446729380962942
34933.62704937228	6158.4821106602685	0.041106151841211434
34933.62704937228	8858.667904100823	0.05979865484496034
34933.62704937228	12742.74985703132	0.08819569290912359
34933.62704937228	18329.807108324374	0.13468395439381314
34933.62704937228	26366.508987303554	0.2357562062243879
34933.62704937228	37926.901907322535	0.7119131214906909
34933.62704937228	54555.947811685146	0.7892787267115431
34933.62704937228	78475.99703514608	0.8533610987057075
34933.62704937228	112883.78916846885	0.9148013799864064
34933.62704937228	162377.67391887208	0.97655730660521
34933.62704937228	233572.1469090121	1.0396950181311446
34933.62704937228	335981.8286283781	1.104594163285928
34933.62704937228	483293.0238571753	1.1713563285127788
34933.62704937228	695192.7961775606	1.2399776133717444
34933.62704937228	1000000.0	1.3104488840786015
46169.0056627528	1000.0	0.015402037499875725
46169.0056627528	1438.449888287663	0.016931214798896616
46169.0056627528	2069.138081114789	0.019105442773486792
46169.0056627528	2976.351441631319	0.02230001274484382
46169.0056627528	4281.332398719395	0.028450019909895964
46169.0056627528	6158.4821106602685	0.04110581147223832
46169.0056627528	8858.667904100823	0.05979932995757147
46169.0056627528	12742.74985703132	0.08828522302659451
46169.0056627528	18329.807108324374	0.13468488854270436
46169.0056627528	26366.508987303554	0.2357652727573448
46169.0056627528	37926.901907322535	0.7119015728093533
46169.0056627528	54555.947811685146	0.7892763386782776
46169.0056627528	78475.99703514608	0.8533596844426096
46169.0056627528	112883.78916846885	0.9148005129910416
46169.0056627528	162377.67391887208	0.9765577276554444
46169.0056627528	233572.1469090121	1.0396959360616742
46169.0056627528	335981.8286283781	1.1045935465632226
46169.0056627528	483293.0238571753	1.1713561767068967
46169.0056627528	695192.7961775606	1.2399754568549362
46169.0056627528	1000000.0	1.3104480717291391
61017.91494123159	1000.0	0.015398141428224313
61017.91494123159	1438.449888287663	0.01694550884452084
61017.91494123159	2069.138081114789	0.01908125391072904
61017.91494123159	2976.351441631319	0.02240839716281529
61017.91494123159	4281.332398719395	0.02846214860572193
61017.91494123159	6158.4821106602685	0.04110561962326481
61017.91494123159	8858.667904100823	0.059801063402886025
61017.91494123159	12742.74985703132	0.08819620580143381
61017.91494123159	18329.807108324374	0.13468419389503478
61017.91494123159	26366.508987303554	0.23579919538295016
61017.91494123159	37926.901907322535	0.7118840761506163
61017.91494123159	54555.947811685146	0.7892723721692552
61017.91494123159	78475.99703514608	0.8533572848427275
61017.91494123159	112883.78916846885	0.9147972724506934
61017.91494123159	162377.67391887208	0.9765559851096534
61017.91494123159	233572.1469090121	1.0396929268982076
61017.91494123159	335981.8286283781	1.1045943956715245
61017.91494123159	483293.0238571753	1.1713550665593646
61017.91494123159	695192.7961775606	1.2399776960981241
61017.91494123159	1000000.0	1.3104493738656708
80642.54125314814	1000.0	0.015435492119260374
80642.54125314814	1438.449888287663	0.016923582081543494
80642.54125314814	2069.138081114789	0.0190813581115723
80642.54125314814	2976.351441631319	0.02235174723794319
80642.54125314814	4281.332398719395	0.028507089467567394
80642.54125314814	6158.4821106602685	0.0411588145064699
80642.54125314814	8858.667904100823	0.05980088051515173
80642.54125314814	12742.74985703132	0.0882531766355556
80642.54125314814	18329.807108324374	0.1346852990382511
80642.54125314814	26366.508987303554	0.2357403504785328
80642.54125314814	37926.901907322535	0.7118538543995424
80642.54125314814	54555.947811685146	0.7892640871576033
80642.54125314814	78475.99703514608	0.8533539701852512
80642.54125314814	112883.78916846885	0.9147953042502226
80642.54125314814	162377.67391887208	0.9765528097447764
80642.54125314814	233572.1469090121	1.0396910354333628
80642.54125314814	335981.8286283781	1.1045902242908516
80642.54125314814	483293.0238571753	1.171358086167422
80642.54125314814	695192.7961775606	1.2399777790362492
80642.54125314814	1000000.0	1.3104493000411896
106578.85419436524	1000.0	0.015398784385800732
106578.85419436524	1438.449888287663	0.016894974812782168
106578.85419436524	2069.138081114789	0.019081067015303682
106578.85419436524	2976.351441631319	0.022319871271791504
106578.85419436524	4281.332398719395	0.028467063738256068
106578.85419436524	6158.4821106602685	0.041114222606194836
106578.85419436524	8858.667904100823	0.05980122715041927
