tstim (s)	Vext (mV)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	-80836.50390625
6.158482110660267e-05	-44138.30078125
0.00011288378916846884	-24105.0
0.00020691380811147902	-13180.0
0.000379269019073225	-7230.0
0.0006951927961775605	-3985.0
0.0012742749857031334	-2220.0
0.002335721469090121	-1255.0
0.004281332398719391	-730.0
0.007847599703514606	-445.0
0.01438449888287663	-292.5
0.026366508987303583	-210.0
0.04832930238571752	-170.0
0.08858667904100823	-153.75
0.1623776739188721	-147.5
0.2976351441631319	-145.0
0.5455594781168515	-143.75
1.0	-143.75
