tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	nan
0.002335721469090121	370458.98437499977
0.004281332398719391	78955.07812499994
0.007847599703514606	41674.80468749997
0.01438449888287663	32958.984374999985
0.026366508987303583	29882.812499999985
0.04832930238571752	28051.757812499985
0.08858667904100823	27099.609374999985
0.1623776739188721	26733.398437499985
0.2976351441631319	26586.914062499985
0.5455594781168515	26513.671874999985
1.0	26513.671874999985
