tstim (s)	Vext (mV)
1e-05	-1490.0
1.8329807108324375e-05	-855.0
3.359818286283781e-05	-510.0
6.158482110660267e-05	-320.0
0.00011288378916846884	-221.25
0.00020691380811147902	-172.5
0.000379269019073225	-152.5
0.0006951927961775605	-148.75
0.0012742749857031334	-148.75
0.002335721469090121	-148.75
0.004281332398719391	-148.75
0.007847599703514606	-148.75
0.01438449888287663	-148.75
0.026366508987303583	-148.75
0.04832930238571752	-148.75
0.08858667904100823	-148.75
0.1623776739188721	-148.75
0.2976351441631319	-148.75
0.5455594781168515	-148.75
1.0	-148.75
