tstim (s)	A (Pa)

1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	nan
0.002335721469090121	nan
0.004281332398719391	115839.84374999994
0.007847599703514606	48925.78124999997
0.01438449888287663	34804.687499999985
0.026366508987303583	30761.718749999985
0.04832930238571752	28828.124999999985
0.08858667904100823	27773.437499999985
0.1623776739188721	27421.874999999985
0.2976351441631319	27304.687499999985
0.5455594781168515	27304.687499999985
1.0	27304.687499999985
