tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	408911.13281249977
3.359818286283781e-05	179736.32812499988
6.158482110660267e-05	125683.59374999994
0.00011288378916846884	107592.77343749994
0.00020691380811147902	98437.49999999994
0.000379269019073225	91259.76562499994
0.0006951927961775605	88330.07812499994
0.0012742749857031334	87304.68749999994
0.002335721469090121	86938.47656249994
0.004281332398719391	86791.99218749994
0.007847599703514606	86791.99218749994
0.01438449888287663	86791.99218749994
0.026366508987303583	86791.99218749994
0.04832930238571752	86791.99218749994
0.08858667904100823	86791.99218749994
0.1623776739188721	86791.99218749994
0.2976351441631319	86791.99218749994
0.5455594781168515	86791.99218749994
1.0	86791.99218749994
