tstim (s)	Vext (mV)
1e-05	-185.0
1.8329807108324375e-05	-113.125
3.359818286283781e-05	-74.375
6.158482110660267e-05	-52.5
0.00011288378916846884	-40.9375
0.00020691380811147902	-35.3125
0.000379269019073225	-33.125
0.0006951927961775605	-32.5
0.0012742749857031334	-32.5
0.002335721469090121	-32.5
0.004281332398719391	-32.5
0.007847599703514606	-32.5
0.01438449888287663	-32.5
0.026366508987303583	-32.5
0.04832930238571752	-32.5
0.08858667904100823	-32.5
0.1623776739188721	-32.5
0.2976351441631319	-32.5
0.5455594781168515	-32.5
1.0	-32.5
