tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	334936.52343749977
0.002335721469090121	100781.24999999994
0.004281332398719391	56689.45312499997
0.007847599703514606	42480.46874999997
0.01438449888287663	37133.789062499985
0.026366508987303583	33984.374999999985
0.04832930238571752	33691.406249999985
0.08858667904100823	33691.406249999985
0.1623776739188721	33691.406249999985
0.2976351441631319	33691.406249999985
0.5455594781168515	33691.406249999985
1.0	33691.406249999985
