f (Hz)	A (Pa)	gamma (-)
20000.000000000004	1000.0	0.0050982142875010215
20000.000000000004	1438.449888287663	0.005603201114083925
20000.000000000004	2069.138081114789	0.0063341784044723
20000.000000000004	2976.351441631319	0.0073907694944648486
20000.000000000004	4281.332398719395	0.009847155670129544
20000.000000000004	6158.4821106602685	0.014098464513897376
20000.000000000004	8858.667904100823	0.0202883313031546
20000.000000000004	12742.74985703132	0.02923402204146625
20000.000000000004	18329.807108324374	0.04221851790768127
20000.000000000004	26366.508987303554	0.0612468282541417
20000.000000000004	37926.901907322535	0.08974002835526046
20000.000000000004	54555.947811685146	0.13458561003030514
20000.000000000004	78475.99703514608	0.21567498349015413
20000.000000000004	112883.78916846885	0.6202476506128998
20000.000000000004	162377.67391887208	0.8605624874258748
20000.000000000004	233572.1469090121	0.9371135959178116
20000.000000000004	335981.8286283781	1.0024204116987754
20000.000000000004	483293.0238571753	1.065864792090667
20000.000000000004	695192.7961775606	1.1300283428703757
20000.000000000004	1000000.0	1.195795603330386
26432.41458867209	1000.0	0.005097919033478573
26432.41458867209	1438.449888287663	0.005602834443624132
26432.41458867209	2069.138081114789	0.006332511778248465
26432.41458867209	2976.351441631319	0.007391064291125195
26432.41458867209	4281.332398719395	0.009850635046820128
26432.41458867209	6158.4821106602685	0.01409921892322197
26432.41458867209	8858.667904100823	0.020289350908924385
26432.41458867209	12742.74985703132	0.029234073497036262
26432.41458867209	18329.807108324374	0.042219204288945066
26432.41458867209	26366.508987303554	0.06124697132474863
26432.41458867209	37926.901907322535	0.08973993550372357
26432.41458867209	54555.947811685146	0.13458593086467552
26432.41458867209	78475.99703514608	0.21567284045442106
26432.41458867209	112883.78916846885	0.6199127865771658
26432.41458867209	162377.67391887208	0.8605597621516999
26432.41458867209	233572.1469090121	0.9371160261316324
26432.41458867209	335981.8286283781	1.0024155564289912
26432.41458867209	483293.0238571753	1.0658637015239265
26432.41458867209	695192.7961775606	1.1300281873473397
26432.41458867209	1000000.0	1.1957958527037922
34933.62704937228	1000.0	0.0050971654609011435
34933.62704937228	1438.449888287663	0.005602884415428429
34933.62704937228	2069.138081114789	0.006333151479839296
34933.62704937228	2976.351441631319	0.007390054900715398
34933.62704937228	4281.332398719395	0.009855730358592808
34933.62704937228	6158.4821106602685	0.014102026974683287
34933.62704937228	8858.667904100823	0.020289442347784
34933.62704937228	12742.74985703132	0.02923451681401765
34933.62704937228	18329.807108324374	0.04221779530312522
34933.62704937228	26366.508987303554	0.061247756157977236
34933.62704937228	37926.901907322535	0.08974071124461733
34933.62704937228	54555.947811685146	0.13458593562462162
34933.62704937228	78475.99703514608	0.2156723274698036
34933.62704937228	112883.78916846885	0.6193344439180879
34933.62704937228	162377.67391887208	0.8605587471362209
34933.62704937228	233572.1469090121	0.9371151170712536
34933.62704937228	335981.8286283781	1.002416855836136
34933.62704937228	483293.0238571753	1.065867140905479
34933.62704937228	695192.7961775606	1.1300257554274649
34933.62704937228	1000000.0	1.1957977724517426
46169.0056627528	1000.0	0.0050981294561358225
46169.0056627528	1438.449888287663	0.005602475308613339
46169.0056627528	2069.138081114789	0.006332959050403196
46169.0056627528	2976.351441631319	0.0073896609937748265
46169.0056627528	4281.332398719395	0.009827483397636082
46169.0056627528	6158.4821106602685	0.014102853252715744
46169.0056627528	8858.667904100823	0.020289955344929625
46169.0056627528	12742.74985703132	0.029234164135303987
46169.0056627528	18329.807108324374	0.04221819529157365
46169.0056627528	26366.508987303554	0.0612472709567085
46169.0056627528	37926.901907322535	0.08974160480790717
46169.0056627528	54555.947811685146	0.1345851503924163
46169.0056627528	78475.99703514608	0.2156739738346868
46169.0056627528	112883.78916846885	0.6183519698532505
46169.0056627528	162377.67391887208	0.8605556984051537
46169.0056627528	233572.1469090121	0.9371131372817372
46169.0056627528	335981.8286283781	1.0024200788972597
46169.0056627528	483293.0238571753	1.0658648022662558
46169.0056627528	695192.7961775606	1.1300280133060026
46169.0056627528	1000000.0	1.1957983555141716
61017.91494123159	1000.0	0.005097167963248953
61017.91494123159	1438.449888287663	0.005603039970657371
61017.91494123159	2069.138081114789	0.00633281465136845
61017.91494123159	2976.351441631319	0.007390178872425031
61017.91494123159	4281.332398719395	0.009824488814258805
61017.91494123159	6158.4821106602685	0.014102340462555582
61017.91494123159	8858.667904100823	0.02028926502365101
61017.91494123159	12742.74985703132	0.02923379796845212
61017.91494123159	18329.807108324374	0.04221806041886083
61017.91494123159	26366.508987303554	0.06124840119335375
61017.91494123159	37926.901907322535	0.08973951128356371
61017.91494123159	54555.947811685146	0.13458626576043733
61017.91494123159	78475.99703514608	0.215674205784964
61017.91494123159	112883.78916846885	0.616727220638443
61017.91494123159	162377.67391887208	0.8605556480173262
61017.91494123159	233572.1469090121	0.93711164365842
61017.91494123159	335981.8286283781	1.0024138473794733
61017.91494123159	483293.0238571753	1.0658616732415065
61017.91494123159	695192.7961775606	1.1300274846702412
61017.91494123159	1000000.0	1.1957977156212891
80642.54125314814	1000.0	0.005097703889057198
80642.54125314814	1438.449888287663	0.005603048384037086
80642.54125314814	2069.138081114789	0.0063325725529144936
80642.54125314814	2976.351441631319	0.00739077518267673
80642.54125314814	4281.332398719395	0.009815989996770495
80642.54125314814	6158.4821106602685	0.014102813094539481
80642.54125314814	8858.667904100823	0.020289327823163825
80642.54125314814	12742.74985703132	0.02923447546499518
80642.54125314814	18329.807108324374	0.042218176325046174
80642.54125314814	26366.508987303554	0.061248136255056575
80642.54125314814	37926.901907322535	0.08974193436549326
80642.54125314814	54555.947811685146	0.1345858633334229
80642.54125314814	78475.99703514608	0.21568649724265712
80642.54125314814	112883.78916846885	0.6142109897438768
80642.54125314814	162377.67391887208	0.8605425111828829
80642.54125314814	233572.1469090121	0.9371067077638529
80642.54125314814	335981.8286283781	1.0024152477608772
80642.54125314814	483293.0238571753	1.0658605210234473
80642.54125314814	695192.7961775606	1.1300258164352748
80642.54125314814	1000000.0	1.195797071408682
106578.85419436524	1000.0	0.0050989048525728106
106578.85419436524	1438.449888287663	0.005604557241625785
106578.85419436524	2069.138081114789	0.0063334657579555
