tstim (s)	Vext (mV)
1e-05	nan
1.8329807108324375e-05	-66746.7578125
3.359818286283781e-05	-36420.0
6.158482110660267e-05	-19885.0
0.00011288378916846884	-10870.0
0.00020691380811147902	-5945.0
0.000379269019073225	-3260.0
0.0006951927961775605	-1805.0
0.0012742749857031334	-1010.0
0.002335721469090121	-575.0
0.004281332398719391	-337.5
0.007847599703514606	-208.75
0.01438449888287663	-140.0
0.026366508987303583	-103.75
0.04832930238571752	-85.625
0.08858667904100823	-77.5
0.1623776739188721	-74.375
0.2976351441631319	-73.75
0.5455594781168515	-73.125
1.0	-73.125
