PRF (Hz)	FR
12.375000000000002	nan
13.594446632096036	nan
14.934058927911696	nan
16.405678149177596	nan
18.02231240907789	nan
19.79825165512497	nan
21.749193982578053	nan
23.892384394930215	nan
26.246767238012357	nan
28.833153655127727	nan
31.67440554340676	nan
34.795637637431106	nan
38.22443950640884	nan
41.99111942720469	nan
46.12897228889739	nan
50.67457389695774	nan
55.66810427849688	nan
61.15370284638244	12.41442506113695
67.17985856163277	17.253742816028733
73.79983854285871	18.749771731326177
81.07215891136943	23.37862672804822
89.06110203389258	28.337175399379767
97.83728473498276	33.44259510395568
107.47828250172994	36.467318405895846
118.0693151983117	39.94504004634008
129.70400035164243	43.79559730383163
142.4851806666478	48.04624335408765
156.52583308584286	52.707066080565156
171.95006742867577	57.837828929865466
188.89422343793515	63.44658860440159
207.50807593036228	69.61287735358971
227.95615870418092	76.39580253409707
250.41921890598826	83.73561857970088
275.09581471261646	91.89021620555087
302.20407045039576	90.31131210899738
331.9836046658659	127.11006829773041
364.6976481907865	127.35872888173871
400.6353709236834	148.62285746882446
440.1144378951122	164.88232167383944
483.4838172105089	186.977602709998
531.1268646909358	217.92461573177494
583.4647124778526	254.98252405596895
640.959991554862	203.5380796965407
704.1209210910146	228.52409699023525
773.5058007526538	nan
849.7279456928211	nan
933.4611078401336	nan
1025.4454314076718	nan
1126.4939952645082	nan
1237.5	nan
