tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	398583.98437499977
3.359818286283781e-05	177246.09374999988
6.158482110660267e-05	122387.69531249994
0.00011288378916846884	105541.99218749994
0.00020691380811147902	96166.99218749994
0.000379269019073225	89868.16406249994
0.0006951927961775605	87451.17187499994
0.0012742749857031334	86645.50781249994
0.002335721469090121	86352.53906249994
0.004281332398719391	86279.29687499994
0.007847599703514606	86279.29687499994
0.01438449888287663	86279.29687499994
0.026366508987303583	86279.29687499994
0.04832930238571752	86279.29687499994
0.08858667904100823	86279.29687499994
0.1623776739188721	86279.29687499994
0.2976351441631319	86279.29687499994
0.5455594781168515	86279.29687499994
1.0	86279.29687499994
