tau_m (s)	tau_ax (s)	rmse (mV)
1.274274985703132e-05	1e-07	3.763197599683126
1.274274985703132e-05	1.832980710832437e-07	3.641630694722961
1.274274985703132e-05	3.359818286283781e-07	3.2884174746269084
1.274274985703132e-05	6.158482110660267e-07	2.5019549626058426
1.274274985703132e-05	1.1288378916846883e-06	1.4380338055289257
1.274274985703132e-05	2.06913808111479e-06	0.6558935681024325
1.274274985703132e-05	3.792690190732254e-06	0.2950393394614029
1.274274985703132e-05	6.951927961775606e-06	0.16518402920996067
1.274274985703132e-05	1.274274985703132e-05	0.12036145999738372
1.274274985703132e-05	2.335721469090121e-05	0.06379678098866015
1.274274985703132e-05	4.281332398719396e-05	0.04215087033250648
1.274274985703132e-05	7.847599703514605e-05	0.03365583912489025
1.274274985703132e-05	0.0001438449888287663	0.028776246890527032
1.274274985703132e-05	0.00026366508987303583	0.02570360771311244
1.274274985703132e-05	0.00048329302385717517	0.02383074488479889
1.274274985703132e-05	0.0008858667904100822	0.022719182233372704
1.274274985703132e-05	0.001623776739188721	0.022070813511951674
1.274274985703132e-05	0.002976351441631319	0.02173450157384064
1.274274985703132e-05	0.005455594781168515	0.02153485965118917
1.274274985703132e-05	0.01	0.021424915063976292
2.335721469090121e-05	1e-07	3.7166100663891535
2.335721469090121e-05	1.832980710832437e-07	3.5926074814216618
2.335721469090121e-05	3.359818286283781e-07	3.232696400905428
2.335721469090121e-05	6.158482110660267e-07	2.4312197278437657
2.335721469090121e-05	1.1288378916846883e-06	1.353840264707837
2.335721469090121e-05	2.06913808111479e-06	0.5770618251974101
2.335721469090121e-05	3.792690190732254e-06	0.2304374296342057
2.335721469090121e-05	6.951927961775606e-06	0.11308609121751373
2.335721469090121e-05	1.274274985703132e-05	0.07658908886462533
2.335721469090121e-05	2.335721469090121e-05	0.07003032899798088
2.335721469090121e-05	4.281332398719396e-05	0.039601115722186164
2.335721469090121e-05	7.847599703514605e-05	0.02421844687877492
2.335721469090121e-05	0.0001438449888287663	0.016147334039560132
2.335721469090121e-05	0.00026366508987303583	0.012660153833955558
2.335721469090121e-05	0.00048329302385717517	0.010282644062225623
2.335721469090121e-05	0.0008858667904100822	0.008716814991149208
2.335721469090121e-05	0.001623776739188721	0.007636372329131938
2.335721469090121e-05	0.002976351441631319	0.006972765572071518
2.335721469090121e-05	0.005455594781168515	0.006650152716080609
2.335721469090121e-05	0.01	0.006473992004384009
4.281332398719396e-05	1e-07	3.693654442564953
4.281332398719396e-05	1.832980710832437e-07	3.5682982673181574
4.281332398719396e-05	3.359818286283781e-07	3.2047313555029713
4.281332398719396e-05	6.158482110660267e-07	2.3950216821181947
4.281332398719396e-05	1.1288378916846883e-06	1.310564188611522
4.281332398719396e-05	2.06913808111479e-06	0.5373947269469965
4.281332398719396e-05	3.792690190732254e-06	0.19820422660459688
4.281332398719396e-05	6.951927961775606e-06	0.08589467918961999
4.281332398719396e-05	1.274274985703132e-05	0.05373623254526706
4.281332398719396e-05	2.335721469090121e-05	0.04329043459985557
4.281332398719396e-05	4.281332398719396e-05	0.041559934345867335
4.281332398719396e-05	7.847599703514605e-05	0.023290211381494053
4.281332398719396e-05	0.0001438449888287663	0.0141137658850724
4.281332398719396e-05	0.00026366508987303583	0.009087633653545807
4.281332398719396e-05	0.00048329302385717517	0.006585981434793538
4.281332398719396e-05	0.0008858667904100822	0.005266527455223389
4.281332398719396e-05	0.001623776739188721	0.0040251559533678715
4.281332398719396e-05	0.002976351441631319	0.0034077631543205445
4.281332398719396e-05	0.005455594781168515	0.002828641246678146
4.281332398719396e-05	0.01	0.0025964006197340354
7.847599703514605e-05	1e-07	3.6818694112688126
7.847599703514605e-05	1.832980710832437e-07	3.5557831125749715
7.847599703514605e-05	3.359818286283781e-07	3.1901876499597104
7.847599703514605e-05	6.158482110660267e-07	2.375958809555323
7.847599703514605e-05	1.1288378916846883e-06	1.287685307450842
7.847599703514605e-05	2.06913808111479e-06	0.5167030554957722
7.847599703514605e-05	3.792690190732254e-06	0.1813899090983961
7.847599703514605e-05	6.951927961775606e-06	0.07042838781706907
7.847599703514605e-05	1.274274985703132e-05	0.03960433316132824
7.847599703514605e-05	2.335721469090121e-05	0.02927051277884916
7.847599703514605e-05	4.281332398719396e-05	0.0259805903887954
7.847599703514605e-05	7.847599703514605e-05	0.023974184431991008
7.847599703514605e-05	0.0001438449888287663	0.0133500238035586
7.847599703514605e-05	0.00026366508987303583	0.008061611650400759
7.847599703514605e-05	0.00048329302385717517	0.005221751731982056
7.847599703514605e-05	0.0008858667904100822	0.0035926443118947994
7.847599703514605e-05	0.001623776739188721	0.00270254358738175
7.847599703514605e-05	0.002976351441631319	0.002064273717966652
7.847599703514605e-05	0.005455594781168515	0.0016121284258941244
7.847599703514605e-05	0.01	0.0014381017772115146
0.0001438449888287663	1e-07	3.6755280606803282
0.0001438449888287663	1.832980710832437e-07	3.5490504775171137
