tstim (s)	A (Pa)
1e-05	nan
1.8329807108324375e-05	nan
3.359818286283781e-05	nan
6.158482110660267e-05	nan
0.00011288378916846884	nan
0.00020691380811147902	nan
0.000379269019073225	nan
0.0006951927961775605	nan
0.0012742749857031334	nan
0.002335721469090121	359692.38281249977
0.004281332398719391	105981.44531249994
0.007847599703514606	52954.10156249997
0.01438449888287663	37792.96874999997
0.026366508987303583	32153.320312499985
0.04832930238571752	29516.601562499985
0.08858667904100823	28198.242187499985
0.1623776739188721	27612.304687499985
0.2976351441631319	27392.578124999985
0.5455594781168515	27319.335937499985
1.0	27319.335937499985
