PRF (Hz)	FR
4.447344408958227	4.447343455407751
4.885590805828953	4.885595638068411
5.367022503119252	5.367014333307102
5.895895029649548	5.895917406718385
6.476883258909982	6.476870382893228
7.11512273176307	7.115074479074361
7.816255051132639	7.816299598299428
8.586477749937268	8.586475358197138
9.432599073066845	9.432578049103311
10.362098157637638	10.362097776603697
11.383191143478424	11.383183258533782
12.504903798219443	12.50486302160456
13.737151298940542	13.737102451224025
15.090825875594014	15.090543412296114
16.577893090910443	16.577638686229008
18.211497607836414	18.21125056552788
20.006079379416303	20.004890756195657
21.977501288157725	21.97587634155076
24.143189363125813	24.140985842147415
26.522286814190103	26.51816908369705
29.13582324498194	29.129053171928174
32.00690054029011	31.996618258433184
35.1608970710125	35.1453286425004
38.62569202169706	38.60188974071397
42.431911823574815	42.39508767770887
46.61320087138526	46.56263014396651
51.20651891694698	51.13144647339568
56.25246776823045	56.149830964318326
61.7956501817302	61.650993555647524
67.88506412050157	67.68468296735564
74.57453586283438	74.30303333074242
81.9231957899502	81.58001393176468
89.99600105836222	89.51479844021696
98.86430977696675	98.24152394826825
108.60651176420079	107.79901914675966
119.30872146073021	118.23345291283704
131.0655391225462	129.4949045343713
143.98088702289678	141.9502340338699
158.16892805451482	155.59215267930108
173.75507485195448	170.45058615060145
190.87709835399977	187.39791466187108
209.6863456050744	208.26100120829358
230.34907756019626	198.17785114347203
253.04793871875867	184.28676409126015
277.98357157770255	197.3258387064834
305.3763901747499	186.42405430066722
335.46852839860753	182.03803541780817
368.52598028789237	186.90475881288208
404.8409512375453	169.24537148214642
444.73444089582244	159.2787233202872
