PRF (Hz)	FR
495.00000000000017	494.8363456655394
543.7778652838416	543.534048938292
597.362357116468	596.9588316591334
656.2271259671045	655.5332306570896
720.8924963631155	719.8697864838533
791.9300662049986	790.3978483442913
869.967759303122	867.5275104006881
955.6953757972088	951.9202957983252
1049.8706895204946	1044.2013446104077
1153.3261462051096	1144.6767058003354
1266.9762217362706	1253.7196042193489
1391.8255054972449	1371.5022865581657
1528.977580256354	1497.5447989939128
1679.644777088187	1631.0303853400223
1845.158891555895	1399.7996801629681
2026.9829558783101	1096.3675047590618
2226.7241711398756	1175.6284361493083
2446.148113855298	1036.8228345014704
2687.1943424653114	1274.2812214732694
2951.9935417143492	1403.039308416422
3242.8863564547746	1523.8146678180199
3562.4440813557044	1564.0888736782704
3913.49138939931	1139.9112742532805
4299.131300069194	1334.537067029405
4722.772607932469	991.018332823906
5188.160014065694	1150.0280540730867
5699.407226665914	1213.2105603101513
6261.0333234337095	1286.4028615609427
6878.002697147032	nan
7555.7689375174	1161.3530865229438
8300.323037214484	nan
9118.24634816724	nan
10016.768756239533	nan
11003.832588504662	nan
12088.162818015808	nan
13279.344186634642	nan
14587.905927631447	nan
16025.41483694734	nan
17604.577515804474	nan
19339.35268842032	nan
21245.07458763744	nan
23338.58849911411	nan
25638.399662194486	nan
28164.836843640533	nan
30940.23203010616	nan
33989.11782771282	nan
37338.44431360536	nan
41017.817256306844	nan
45059.75981058025	nan
49499.99999999996	nan
