gamma1 (-)	gamma2 (-)	rmse (mV)
0.0	0.0	4.783716568383668e-13
0.0	0.08421052631578947	0.0006545602143707467
0.0	0.16842105263157894	0.0012254657888887556
0.0	0.25263157894736843	0.0017120882115125302
0.0	0.3368421052631579	0.002085390867205182
0.0	0.42105263157894735	0.002673250306137649
0.0	0.5052631578947369	0.0037529731958187225
0.0	0.5894736842105263	0.006725594853542014
0.0	0.6736842105263158	0.01318666777533456
0.0	0.7578947368421053	0.02559926556719269
0.0	0.8421052631578947	0.05038022872514058
0.0	0.9263157894736842	0.10479005720651448
0.0	1.0105263157894735	1.2115607985157892
0.0	1.0947368421052632	0.6908078489986951
0.0	1.1789473684210523	0.2774112055336881
0.0	1.263157894736842	0.2826831647418962
0.0	1.3473684210526315	0.5609590232394346
0.0	1.431578947368421	0.6902712835351619
0.0	1.5157894736842106	0.6678342668198854
0.0	1.6	0.7061654454693677
0.08421052631578947	0.0	0.0006545602143722507
0.08421052631578947	0.08421052631578947	4.2144017816635105e-05
0.08421052631578947	0.16842105263157894	0.0005797286474562347
0.08421052631578947	0.25263157894736843	0.0010682424828296606
0.08421052631578947	0.3368421052631579	0.001442105866035501
0.08421052631578947	0.42105263157894735	0.0021354619683101525
0.08421052631578947	0.5052631578947369	0.003384874335202673
0.08421052631578947	0.5894736842105263	0.006535728834080725
0.08421052631578947	0.6736842105263158	0.01311987470839883
0.08421052631578947	0.7578947368421053	0.0255940440429702
0.08421052631578947	0.8421052631578947	0.05047977251384874
0.08421052631578947	0.9263157894736842	0.10577732042923643
0.08421052631578947	1.0105263157894735	1.201158865167953
0.08421052631578947	1.0947368421052632	0.6904461282792549
0.08421052631578947	1.1789473684210523	0.28432496018182096
0.08421052631578947	1.263157894736842	0.26247068370214804
0.08421052631578947	1.3473684210526315	0.5480822061736441
0.08421052631578947	1.431578947368421	0.6776496109259246
0.08421052631578947	1.5157894736842106	0.6640108326906375
0.08421052631578947	1.6	0.7070895989153233
0.16842105263157894	0.0	0.0012254657888852074
0.16842105263157894	0.08421052631578947	0.000579728647450086
0.16842105263157894	0.16842105263157894	5.3074520381372935e-05
0.16842105263157894	0.25263157894736843	0.0004956691769831048
0.16842105263157894	0.3368421052631579	0.0008866307612759668
0.16842105263157894	0.42105263157894735	0.0017318688820421135
0.16842105263157894	0.5052631578947369	0.003142010336179097
0.16842105263157894	0.5894736842105263	0.00637363544090525
0.16842105263157894	0.6736842105263158	0.012982768790067505
0.16842105263157894	0.7578947368421053	0.025423829665985127
0.16842105263157894	0.8421052631578947	0.05038687815981012
0.16842105263157894	0.9263157894736842	0.10794029858430974
