t stim (s)	Athr (Pa)
1e-05	nan
3.5938136638046256e-05	120256.13289974032
0.0001291549665014884	47831.3443256616
0.0004641588833612782	43329.00118569548
0.0016681005372000592	43062.73358064372
0.005994842503189409	43038.52743472992
0.021544346900318846	43038.52743472992
0.07742636826811278	43038.52743472992
0.2782559402207126	43038.52743472992
1.0	43038.52743472992
