tau_m (ms)	tau_ax (ms)	dV (mV)
0.0001	0.0001	10.689583815631764
0.0001	0.0001832980710832436	10.679676459377507
0.0001	0.0003359818286283781	10.666256376921062
0.0001	0.0006158482110660267	10.652352751654199
0.0001	0.0011288378916846885	10.640836787466695
0.0001	0.002069138081114789	10.632728678528608
0.0001	0.00379269019073225	10.627595574274034
0.0001	0.006951927961775605	10.624941862470187
0.0001	0.012742749857031334	10.623414683404413
0.0001	0.02335721469090121	10.622565680389618
0.0001	0.04281332398719392	10.62209391468756
0.0001	0.07847599703514607	10.621834123965456
0.0001	0.14384498882876628	10.621691854759725
0.0001	0.26366508987303583	10.621614101902727
0.0001	0.4832930238571752	10.621571605744137
0.0001	0.8858667904100823	10.621548410877397
0.0001	1.6237767391887208	10.621535760890927
0.0001	2.97635144163132	10.62152884576377
0.0001	5.4555947811685135	10.621525077148334
0.0001	10.0	10.621523028469547
0.0001832980710832436	0.0001	9.23984045227617
0.0001832980710832436	0.0001832980710832436	9.223450231948597
0.0001832980710832436	0.0003359818286283781	9.195156707386602
0.0001832980710832436	0.0006158482110660267	9.158669813923645
0.0001832980710832436	0.0011288378916846885	9.122817032692744
0.0001832980710832436	0.002069138081114789	9.094445203148103
0.0001832980710832436	0.00379269019073225	9.07512926801401
0.0001832980710832436	0.006951927961775605	9.063729967825736
0.0001832980710832436	0.012742749857031334	9.057031452743672
0.0001832980710832436	0.02335721469090121	9.053237031156053
0.0001832980710832436	0.04281332398719392	9.051118060795048
0.0001832980710832436	0.07847599703514607	9.049947589392113
0.0001832980710832436	0.14384498882876628	9.049304614115002
0.0001832980710832436	0.26366508987303583	9.048952781645104
0.0001832980710832436	0.4832930238571752	9.048760711432775
0.0001832980710832436	0.8858667904100823	9.048655630354489
0.0001832980710832436	1.6237767391887208	9.048598230523162
0.0001832980710832436	2.97635144163132	9.048566937133415
0.0001832980710832436	5.4555947811685135	9.04854986151198
0.0001832980710832436	10.0	9.048540545352468
0.0003359818286283781	0.0001	6.592630552046652
0.0003359818286283781	0.0001832980710832436	6.570712694166494
0.0003359818286283781	0.0003359818286283781	6.523598820838082
0.0003359818286283781	0.0006158482110660267	6.4487123628958045
0.0003359818286283781	0.0011288378916846885	6.361860414889634
0.0003359818286283781	0.002069138081114789	6.285555145438693
