tau_m (ms)	tau_ax (ms)	dV (mV)
0.0001	0.0001	8.72076327580536
0.0001	0.0001832980710832436	8.671005094698785
0.0001	0.0003359818286283781	8.604494806438545
0.0001	0.0006158482110660267	8.535881241683228
0.0001	0.0011288378916846885	8.479106855927455
0.0001	0.002069138081114789	8.444622333275278
0.0001	0.00379269019073225	8.430207247794385
0.0001	0.006951927961775605	8.422352020615868
0.0001	0.012742749857031334	8.417657084968056
0.0001	0.02335721469090121	8.415124115423112
0.0001	0.04281332398719392	8.41368506319926
0.0001	0.07847599703514607	8.412885895694751
0.0001	0.14384498882876628	8.41244881688899
0.0001	0.26366508987303583	8.412210582576519
0.0001	0.4832930238571752	8.412080132251923
0.0001	0.8858667904100823	8.412008624430555
0.0001	1.6237767391887208	8.411970123018094
0.0001	2.97635144163132	8.411948888189293
0.0001	5.4555947811685135	8.411937018119929
0.0001	10.0	8.411931045403392
0.0001832980710832436	0.0001	8.012941072121599
0.0001832980710832436	0.0001832980710832436	7.928186303276497
0.0001832980710832436	0.0003359818286283781	7.784184325935462
0.0001832980710832436	0.0006158482110660267	7.599518696088081
0.0001832980710832436	0.0011288378916846885	7.418982174593638
0.0001832980710832436	0.002069138081114789	7.285520745661131
0.0001832980710832436	0.00379269019073225	7.206712172672972
0.0001832980710832436	0.006951927961775605	7.159082246056116
0.0001832980710832436	0.012742749857031334	7.130875203080107
0.0001832980710832436	0.02335721469090121	7.1150385609366325
0.0001832980710832436	0.04281332398719392	7.106151545704904
0.0001832980710832436	0.07847599703514607	7.101233531716787
0.0001832980710832436	0.14384498882876628	7.0985346284819855
0.0001832980710832436	0.26366508987303583	7.097058329840124
0.0001832980710832436	0.4832930238571752	7.096250965593804
0.0001832980710832436	0.8858667904100823	7.095810119513303
0.0001832980710832436	1.6237767391887208	7.095569386569785
0.0001832980710832436	2.97635144163132	7.0954380458626005
0.0001832980710832436	5.4555947811685135	7.0953663805415355
0.0001832980710832436	10.0	7.095327175069728
0.0003359818286283781	0.0001	6.7904694555818494
0.0003359818286283781	0.0001832980710832436	6.6714634486615685
0.0003359818286283781	0.0003359818286283781	6.423603319802389
0.0003359818286283781	0.0006158482110660267	6.039468203381567
0.0003359818286283781	0.0011288378916846885	5.608699115656798
0.0003359818286283781	0.002069138081114789	5.254638322279028
