f_US (kHz)	A (kPa)	gamma (-)
20.000000000000004	1.0	0.008427392098973863
20.000000000000004	1.4384498882876628	0.009969981151246136
20.000000000000004	2.0691380811147897	0.012948836412202559
20.000000000000004	2.9763514416313184	0.018735230970775424
20.000000000000004	4.281332398719393	0.02740220632396189
20.000000000000004	6.158482110660263	0.04051182301199989
20.000000000000004	8.858667904100825	0.06301418556691682
20.000000000000004	12.742749857031336	0.3157388384915638
20.000000000000004	18.32980710832436	0.3453101774650151
20.000000000000004	26.366508987303586	0.37216646408877896
20.000000000000004	37.926901907322495	0.3989674035598253
20.000000000000004	54.55594781168517	0.4265772817446225
20.000000000000004	78.47599703514611	0.4553147101445901
20.000000000000004	112.88378916846884	0.4852689953622984
20.000000000000004	162.3776739188721	0.5164248051499132
20.000000000000004	233.5721469090121	0.5487208857612972
20.000000000000004	335.98182862837814	0.5820798528209026
20.000000000000004	483.2930238571752	0.6164345447323221
20.000000000000004	695.1927961775606	0.6517380790539589
20.000000000000004	1000.0	0.6879634969597769
26.432414588672085	1.0	0.008425251771610257
26.432414588672085	1.4384498882876628	0.009897591198350288
26.432414588672085	2.0691380811147897	0.012948973796002815
26.432414588672085	2.9763514416313184	0.01873323811574148
26.432414588672085	4.281332398719393	0.027314144054466603
26.432414588672085	6.158482110660263	0.04051041546230113
26.432414588672085	8.858667904100825	0.06301475344107971
26.432414588672085	12.742749857031336	0.3157363352542925
26.432414588672085	18.32980710832436	0.3453094962423782
26.432414588672085	26.366508987303586	0.3721656921056656
26.432414588672085	37.926901907322495	0.3989669135652277
26.432414588672085	54.55594781168517	0.4265768991972191
26.432414588672085	78.47599703514611	0.4553148996824435
26.432414588672085	112.88378916846884	0.4852699326225626
26.432414588672085	162.3776739188721	0.5164267844019361
26.432414588672085	233.5721469090121	0.5487201929325346
26.432414588672085	335.98182862837814	0.5820799861748938
26.432414588672085	483.2930238571752	0.6164346976699122
26.432414588672085	695.1927961775606	0.6517383793626729
26.432414588672085	1000.0	0.6879634690657814
34.93362704937226	1.0	0.008424268493257506
34.93362704937226	1.4384498882876628	0.009902731967585593
34.93362704937226	2.0691380811147897	0.01298972455390634
34.93362704937226	2.9763514416313184	0.018733092871507217
34.93362704937226	4.281332398719393	0.027369146809906857
34.93362704937226	6.158482110660263	0.040568899450492316
34.93362704937226	8.858667904100825	0.06301433644176771
34.93362704937226	12.742749857031336	0.3157285216882828
34.93362704937226	18.32980710832436	0.345308161809846
34.93362704937226	26.366508987303586	0.3721648387081446
34.93362704937226	37.926901907322495	0.3989667102763904
34.93362704937226	54.55594781168517	0.42657737357948666
34.93362704937226	78.47599703514611	0.4553143121711123
34.93362704937226	112.88378916846884	0.4852700518063846
